,word,start,end,category
0,this,0.0,0.149,sponsor
1,video,0.149,0.45,sponsor
2,is,0.45,0.659,sponsor
3,sponsored,0.659,0.84,sponsor
4,by,0.84,1.079,sponsor
5,Dollar,1.079,1.439,sponsor
6,Shave,1.439,1.55,sponsor
7,Club,1.56,1.8,sponsor
8,click,1.8,2.31,sponsor
9,the,2.31,2.399,sponsor
10,link,2.399,2.58,sponsor
11,down,2.58,2.73,sponsor
12,below,2.73,2.82,sponsor
13,and,2.82,3.09,sponsor
14,stay,3.09,3.23,sponsor
15,tuned,3.24,3.48,sponsor
16,after,3.48,3.6,sponsor
17,the,3.6,3.75,sponsor
18,video,3.75,3.99,sponsor
19,for,3.99,4.259,sponsor
20,more,4.259,4.37,sponsor
21,playing,15.59,16.59,video
22,games,16.59,16.92,video
23,on,16.92,17.16,video
24,your,17.16,17.31,video
25,cell,17.31,17.58,video
26,phone,17.58,17.599,video
27,nowadays,17.609,18.33,video
28,is,18.33,18.57,video
29,pretty,18.57,18.869,video
30,normal,18.869,19.05,video
31,but,19.05,19.439,video
32,could,19.439,20.01,video
33,you,20.01,20.12,video
34,imagine,20.13,20.25,video
35,trying,20.25,20.85,video
36,to,20.85,20.97,video
37,do,20.97,21.21,video
38,that,21.21,21.359,video
39,back,21.359,21.66,video
40,in,21.66,21.869,video
41,the,21.869,21.95,video
42,90s,21.96,22.5,video
43,how,22.5,22.89,video
44,would,22.89,23.07,video
45,that,23.07,23.189,video
46,even,23.189,23.25,video
47,work,23.25,23.55,video
48,you,23.55,24.09,video
49,can't,24.09,24.29,video
50,play,24.3,24.51,video
51,games,24.51,24.75,video
52,on,24.75,25.019,video
53,this,25.019,25.199,video
54,thing,25.199,25.49,video
55,can,25.49,26.49,video
56,you,26.49,28.25,video
57,no,28.25,29.25,video
58,you,29.25,29.839,video
59,can't,29.849,30.289,video
60,but,30.289,31.289,video
61,that,31.289,31.679,video
62,didn't,31.679,32.07,video
63,stop,32.07,32.189,video
64,Nintendo,32.189,33.059,video
65,or,33.059,33.29,video
66,Bandai,33.3,34.14,video
67,with,34.14,34.469,video
68,their,34.469,34.95,video
69,terribie,34.95,35.91,video
70,koto,35.91,36.54,video
71,system,36.54,42.43,video
72,so,46.399,47.399,video
73,what,47.399,48.12,video
74,is,48.12,48.3,video
75,this,48.3,48.51,video
76,thing,48.51,48.69,video
77,exactly,48.69,49.26,video
78,it,49.26,49.5,video
79,just,49.5,49.79,video
80,looks,49.8,50.01,video
81,like,50.01,50.1,video
82,a,50.1,50.219,video
83,normal,50.219,50.43,video
84,kid's,50.43,50.82,video
85,toy,50.82,51.03,video
86,that,51.03,51.239,video
87,when,51.239,51.47,video
88,you,51.48,51.57,video
89,first,51.57,51.84,video
90,bought,51.84,52.11,video
91,music,52.11,52.53,video
92,makes,52.53,52.739,video
93,Lackey,52.739,53.09,video
94,noises,53.1,53.699,video
95,well,53.699,54.57,video
96,no,54.57,55.5,video
97,actually,55.5,56.129,video
98,the,56.129,56.489,video
99,tarabuco,56.489,56.94,video
100,was,56.94,57.29,video
101,an,57.3,57.42,video
102,interactive,57.42,57.87,video
103,toy,57.87,58.26,video
104,that,58.26,58.469,video
105,you,58.469,58.53,video
106,would,58.53,58.7,video
107,actually,58.71,58.92,video
108,hook,58.92,59.609,video
109,up,59.609,59.789,video
110,to,59.789,60.0,video
111,your,60.0,60.149,video
112,TV,60.149,60.42,video
113,or,60.42,60.629,video
114,VCR,60.629,61.35,video
115,there,61.35,62.029,video
116,were,62.039,62.19,video
117,nine,62.19,62.43,video
118,different,62.43,62.94,video
119,VHS,62.94,63.39,video
120,tapes,63.39,63.66,video
121,you,63.66,63.809,video
122,could,63.809,63.979,video
123,buy,63.989,64.17,video
124,and,64.17,64.5,video
125,play,64.5,64.71,video
126,the,64.71,64.83,video
127,game,64.83,65.01,video
128,with,65.01,65.25,video
129,everything,65.25,65.78,video
130,from,65.79,66.119,video
131,Hello,66.119,66.39,video
132,Kitty,66.39,66.78,video
133,to,66.78,67.38,video
134,dragon,67.38,68.07,video
135,ball,68.07,68.34,video
136,to,68.34,69.0,video
137,yup,69.0,69.53,video
138,even,69.54,69.99,video
139,Super,69.99,70.47,video
140,Mario,70.47,70.74,video
141,Bros,70.74,71.22,video
142,every,71.22,72.06,video
143,anime,72.06,72.45,video
144,was,72.45,72.649,video
145,about,72.659,72.93,video
146,thirty,72.93,73.35,video
147,minutes,73.35,73.56,video
148,long,73.56,73.92,video
149,staying,73.92,74.61,video
150,true,74.61,74.84,video
151,to,74.85,74.939,video
152,the,74.939,75.09,video
153,source,75.09,75.36,video
154,material,75.36,75.93,video
155,and,75.93,76.049,video
156,giving,76.049,76.38,video
157,you,76.38,76.47,video
158,an,76.47,76.55,video
159,educational,76.56,77.25,video
160,adventure,77.25,77.52,video
161,all,77.52,78.06,video
162,while,78.06,78.44,video
163,providing,78.45,78.81,video
164,a,78.81,79.11,video
