,word,start,end,category
0,this,0.03,0.329,sponsor
1,video,0.329,0.69,sponsor
2,is,0.69,0.96,sponsor
3,sponsored,0.96,1.199,sponsor
4,by,1.199,1.5,sponsor
5,-,1.5,2.01,sponsor
6,Lane,2.01,2.36,sponsor
7,protect,2.37,3.12,sponsor
8,your,3.12,3.24,sponsor
9,passwords,3.24,3.78,sponsor
10,free,3.78,4.17,sponsor
11,for,4.17,4.47,sponsor
12,30,4.47,4.68,sponsor
13,days,4.68,4.88,sponsor
14,with,4.89,5.22,sponsor
15,a,5.22,5.25,sponsor
16,link,5.25,5.49,sponsor
17,in,5.49,5.73,sponsor
18,the,5.73,5.819,sponsor
19,description,5.819,6.109,sponsor
20,when,6.109,7.109,video
21,the,7.109,7.19,video
22,United,7.2,7.56,video
23,States,7.56,7.83,video
24,gets,7.83,8.13,video
25,hungry,8.13,8.49,video
26,and,8.49,8.82,video
27,we,8.82,9.36,video
28,do,9.36,9.48,video
29,that,9.48,9.68,video
30,a,9.69,9.9,video
31,lot,9.9,10.58,video
32,we,10.59,10.83,video
33,like,10.83,11.01,video
34,to,11.01,11.04,video
35,hop,11.04,11.34,video
36,in,11.34,11.519,video
37,our,11.519,11.639,video
38,car,11.639,11.88,video
39,preferably,11.88,12.75,video
40,not,12.75,13.009,video
41,get,13.019,13.32,video
42,out,13.32,13.5,video
43,of,13.5,13.679,video
44,our,13.679,13.769,video
45,car,13.769,14.009,video
46,and,14.009,14.34,video
47,pay,14.34,14.7,video
48,an,14.7,14.94,video
49,absurdly,14.94,15.35,video
50,small,15.36,15.57,video
51,amount,15.57,16.139,video
52,of,16.139,16.26,video
53,money,16.26,16.44,video
54,fast,16.44,17.31,video
55,food,17.31,17.64,video
56,or,17.64,17.91,video
57,quick,17.91,18.23,video
58,service,18.24,18.539,video
59,restaurants,18.539,19.26,video
60,are,19.26,19.439,video
61,a,19.439,19.85,video
62,256,19.85,20.85,video
63,billion,20.85,21.14,video
64,dollar,21.15,21.6,video
65,a,21.6,21.72,video
66,year,21.72,21.81,video
67,business,21.81,22.289,video
68,made,22.289,23.039,video
69,one,23.039,23.519,video
70,or,23.519,23.88,video
71,two,23.88,23.9,video
72,or,23.91,24.449,video
73,five,24.449,24.48,video
74,dollars,24.48,25.05,video
75,at,25.05,25.56,video
76,a,25.56,25.619,video
77,time,25.619,26.3,video
78,globally,26.31,27.119,video
79,there,27.119,27.449,video
80,are,27.449,27.599,video
81,"20,000",27.599,28.439,video
82,KFC's,28.439,29.39,video
83,"30,000",29.39,30.38,video
84,Starbucks,30.39,31.489,video
85,"37,000",31.489,32.489,video
86,McDonald's,32.489,33.329,video
87,and,33.329,33.54,video
88,more,33.54,34.22,video
89,than,34.23,34.41,video
90,any,34.41,34.649,video
91,other,34.649,35.21,video
92,"43,000",35.21,36.21,video
93,Subway's,36.21,36.75,video
94,there's,36.75,37.49,video
95,one,37.5,37.77,video
96,in,37.77,38.01,video
97,every,38.01,38.219,video
98,US,38.219,38.79,video
99,state,38.79,38.969,video
100,every,38.969,39.809,video
101,u.s.,39.809,40.1,video
102,territory,40.11,40.68,video
103,except,40.68,41.129,video
104,American,41.129,41.37,video
105,Samoa,41.37,42.0,video
106,schools,42.0,42.889,video
107,churches,42.899,43.5,video
108,and,43.5,43.98,video
109,casinos,43.98,44.7,video
110,one,44.7,45.48,video
111,even,45.48,45.899,video
112,was,45.899,46.19,video
113,hydraulically,46.2,46.77,video
114,lifted,46.77,47.25,video
115,above,47.25,47.46,video
116,New,47.46,47.73,video
117,York's,47.73,48.02,video
118,Freedom,48.03,48.39,video
119,Tower,48.39,48.539,video
120,during,48.539,49.05,video
121,its,49.05,49.2,video
122,construction,49.2,49.35,video
123,to,49.35,50.09,video
124,accommodate,50.1,50.61,video
125,workers,50.61,51.03,video
126,who,51.03,51.239,video
127,didn't,51.239,51.51,video
128,have,51.51,51.619,video
129,enough,51.629,51.84,video
130,time,51.84,52.05,video
