,word,start,end,category
0,well,0.03,0.539,video
1,it,0.539,0.63,video
2,finally,0.63,0.81,video
3,happens,0.81,1.35,video
4,guys,1.35,1.56,video
5,I,1.56,2.01,video
6,am,2.01,2.58,video
7,in,2.58,3.449,video
8,the,3.449,3.619,video
9,market,3.629,4.049,video
10,for,4.049,4.319,video
11,a,4.319,4.35,video
12,new,4.35,4.5,video
13,laptop,4.5,4.68,video
14,because,4.68,5.31,video
15,my,5.31,5.63,video
16,previous,5.64,6.24,video
17,one,6.24,6.45,video
18,my,6.45,6.72,video
19,blade,6.72,6.93,video
20,stealth,6.93,7.259,video
21,2018,7.259,8.049,video
22,decided,8.059,9.059,video
23,to,9.059,9.24,video
24,off,9.24,9.54,video
25,itself,9.54,10.08,video
26,quite,10.08,10.98,video
27,literally,10.98,11.34,video
28,I,11.34,11.66,video
29,was,11.67,11.88,video
30,sitting,11.88,12.179,video
31,in,12.179,12.57,video
32,a,12.57,12.9,video
33,job,12.9,13.2,video
34,interview,13.2,13.71,video
35,I,13.71,13.889,video
36,was,13.889,14.18,video
37,interviewing,14.19,14.639,video
38,I'm,14.639,14.79,video
39,not,14.79,14.969,video
40,quitting,14.969,15.36,video
41,don't,15.36,15.53,video
42,worry,15.54,15.66,video
43,I,15.66,15.809,video
44,was,15.809,16.17,video
45,sitting,16.17,16.44,video
46,in,16.44,16.5,video
47,a,16.5,16.56,video
48,job,16.56,16.77,video
49,interview,16.77,17.359,video
50,and,17.369,17.57,video
51,they,17.57,18.57,video
52,just,18.57,18.81,video
53,boot,18.81,19.02,video
54,up,19.02,23.21,video
55,no,23.21,24.21,video
56,that's,24.21,24.449,video
57,fine,24.449,24.72,video
58,the,24.72,24.95,video
59,issue,24.96,25.109,video
60,isn't,25.109,25.41,video
61,actually,25.41,26.189,video
62,that,26.189,26.369,video
63,it,26.369,26.55,video
64,won't,26.55,27.029,video
65,turn,27.029,27.349,video
66,on,27.359,27.39,video
67,the,27.39,27.84,video
68,issue,27.84,28.019,video
69,is,28.019,28.26,video
70,that,28.26,28.289,video
71,I,28.289,28.439,video
72,can't,28.439,28.74,video
73,charge,28.74,29.07,video
74,it,29.07,29.24,video
75,just,29.25,29.82,video
76,to,29.82,30.06,video
77,clarify,30.06,30.24,video
78,that,30.24,30.599,video
79,statement,30.599,30.75,video
80,a,30.75,31.05,video
81,little,31.05,31.13,video
82,bit,31.14,31.41,video
83,i,31.41,31.59,video
84,plug,31.59,31.8,video
85,in,31.8,31.89,video
86,my,31.89,32.009,video
87,charging,32.009,32.369,video
88,cable,32.369,32.61,video
89,and,32.61,32.64,video
90,it,32.64,32.78,video
91,goes,32.79,35.21,video
92,something,35.21,36.21,video
93,shorting,36.21,36.75,video
94,something's,36.75,37.37,video
95,wrong,37.38,37.53,video
96,with,37.53,37.68,video
97,it,37.68,37.739,video
98,it,37.739,38.28,video
99,is,38.28,38.91,video
100,time,38.91,39.149,video
