,word,start,end,category
0,hello,0.0,0.329,video
1,fellow,0.329,0.599,video
2,dendrites,0.599,1.17,video
3,I'm,1.17,1.469,video
4,Pruitt,1.469,1.949,video
5,and,1.949,2.18,video
6,this,2.19,2.61,video
7,is,2.61,3.449,video
8,Jim,3.449,3.81,video
9,Davis,3.81,3.99,video
10,and,3.99,4.68,video
11,some,4.68,5.009,video
12,might,5.009,5.25,video
13,see,5.25,5.609,video
14,it,5.609,5.749,video
15,as,5.759,6.0,video
16,cold-blooded,6.0,6.99,video
17,to,6.99,7.649,video
18,shed,7.649,8.55,video
19,the,8.55,9.0,video
20,trappings,9.0,9.51,video
21,of,9.51,9.68,video
22,man,9.69,10.349,video
23,flesh,10.349,10.71,video
24,but,10.71,11.519,video
25,there,11.519,11.73,video
26,is,11.73,11.82,video
27,one,11.82,12.0,video
28,out,12.0,12.179,video
29,there,12.179,12.459,video
30,who's,12.469,13.469,video
31,not,13.469,13.679,video
32,gonna,13.679,13.86,video
33,turn,13.86,14.07,video
34,down,14.07,14.309,video
35,your,14.309,14.61,video
36,worship,14.61,15.2,video
37,it,15.21,15.99,video
38,is,15.99,16.139,video
39,dinne,16.139,16.379,video
40,dar,16.379,16.59,video
41,he,16.59,17.16,video
42,will,17.16,17.31,video
43,eat,17.31,17.43,video
44,the,17.43,17.58,video
45,Sun,17.58,17.82,video
46,and,17.82,17.87,video
47,he,17.88,18.69,video
48,will,18.69,18.81,video
49,make,18.81,18.93,video
50,a,18.93,18.99,video
51,new,18.99,19.199,video
52,place,19.199,19.5,video
53,for,19.5,19.859,video
54,all,19.859,20.46,video
55,yon,20.46,20.88,video
56,tea,20.88,21.14,video
57,on,21.15,21.779,video
58,web,21.779,22.38,video
59,DM,22.38,29.3,video
60,this,29.3,30.3,sponsor
61,episode,30.3,30.81,sponsor
62,is,30.81,30.96,sponsor
63,brought,30.96,30.99,sponsor
64,to,30.99,31.289,sponsor
65,you,31.289,31.339,sponsor
66,by,31.349,31.41,sponsor
67,the,31.41,31.56,sponsor
68,dungeon,31.56,32.009,sponsor
69,craft,32.009,32.25,sponsor
70,Kickstarter,32.25,32.85,sponsor
71,live,32.85,33.139,sponsor
72,now,33.149,33.48,sponsor
73,build,33.48,33.96,sponsor
74,your,33.96,34.23,sponsor
75,own,34.23,34.26,sponsor
76,battle,34.26,34.86,sponsor
77,maps,34.86,35.1,sponsor
78,in,35.1,35.37,sponsor
79,no,35.37,35.54,sponsor
80,time,35.55,35.82,sponsor
81,at,35.82,35.94,sponsor
82,all,35.94,36.03,sponsor
83,by,36.03,36.239,sponsor
84,using,36.239,36.45,sponsor
85,over,36.45,36.899,sponsor
86,a,36.899,36.93,sponsor
87,thousand,36.93,37.58,sponsor
88,pieces,37.59,37.77,sponsor
89,of,37.77,38.01,sponsor
90,gorgeous,38.01,38.579,sponsor
91,terrain,38.579,38.94,sponsor
92,they're,38.94,39.27,sponsor
93,a,39.27,39.29,sponsor
94,cool-looking,39.3,39.69,sponsor
95,easy,39.69,40.35,sponsor
96,to,40.35,40.53,sponsor
97,store,40.53,40.71,sponsor
98,and,40.71,40.76,sponsor
99,affordable,40.77,41.64,sponsor
100,way,41.64,41.76,sponsor
101,to,41.76,41.79,sponsor
102,level,41.79,42.149,sponsor
103,up,42.149,42.21,sponsor
104,your,42.21,42.39,sponsor
105,combat,42.39,42.74,sponsor
106,each,42.75,42.989,sponsor
107,book,42.989,43.29,sponsor
108,consists,43.29,43.86,sponsor
109,of,43.86,43.92,sponsor
110,reversible,43.92,44.55,sponsor
111,pieces,44.55,44.99,sponsor
112,for,45.0,45.18,sponsor
113,building,45.18,45.45,sponsor
114,dungeons,45.45,45.899,sponsor
115,cityscapes,45.899,46.71,sponsor
116,and,46.71,46.88,sponsor
117,wilderness,46.89,47.37,sponsor
118,along,47.37,47.969,sponsor
119,with,47.969,48.12,sponsor
120,all,48.12,48.36,sponsor
121,the,48.36,48.51,sponsor
122,creatures,48.51,48.889,sponsor
123,you,48.899,48.989,sponsor
124,need,48.989,49.2,sponsor
125,to,49.2,49.41,sponsor
126,run,49.41,49.53,sponsor
127,your,49.53,49.71,sponsor
128,game,49.71,50.09,sponsor
129,they've,50.1,50.25,sponsor
130,even,50.25,50.46,sponsor
131,got,50.46,50.64,sponsor
132,companion,50.64,51.449,sponsor
133,books,51.449,51.66,sponsor
134,for,51.66,51.83,sponsor
135,battles,51.84,52.11,sponsor
136,on,52.11,52.23,sponsor
137,the,52.23,52.26,sponsor
138,high,52.26,52.469,sponsor
139,seas,52.469,52.71,sponsor
140,or,52.71,52.92,sponsor
141,in,52.92,53.19,sponsor
142,hell,53.19,53.399,sponsor
143,they,53.399,53.72,sponsor
144,send,53.73,54.059,sponsor
145,us,54.059,54.239,sponsor
146,an,54.239,54.39,sponsor
147,early,54.39,54.539,sponsor
148,prototype,54.539,54.93,sponsor
149,and,54.93,55.5,sponsor
150,they,55.5,55.649,sponsor
151,are,55.649,55.76,sponsor
152,useful,55.77,56.01,sponsor
153,it's,56.01,56.43,sponsor
154,all,56.43,56.73,sponsor
155,get,56.73,57.149,sponsor
156,up,57.149,57.3,sponsor
157,so,57.3,57.719,sponsor
158,check,57.719,58.05,sponsor
159,out,58.05,58.199,sponsor
160,link,58.199,58.97,sponsor
161,here,58.98,59.309,sponsor
162,and,59.309,59.489,sponsor
163,in,59.489,60.0,sponsor
164,the,60.0,60.12,sponsor
165,description,60.12,60.59,sponsor
166,Jim,60.59,61.59,video
167,once,61.59,62.0,video
168,again,62.01,62.25,video
169,first,62.25,62.46,video
170,of,62.46,62.64,video
171,all,62.64,62.82,video
172,tunnel,62.82,63.48,video
173,snakes,63.48,63.69,video
174,rule,63.69,63.77,video
175,tunnel,63.78,64.409,video
176,snakes,64.409,64.619,video
177,rule,64.619,64.71,video
178,just,64.71,65.25,video
179,wanted,65.25,65.46,video
180,to,65.46,65.519,video
181,get,65.519,65.6,video
182,that,65.61,65.79,video
183,out,65.79,65.85,video
184,of,65.85,66.03,video
185,the,66.03,66.09,video
186,way,66.09,66.21,video
187,we're,66.21,66.659,video
188,talking,66.659,67.14,video
189,about,67.14,67.219,video
190,you,67.229,67.56,video
191,on,67.56,67.85,video
192,t1t,67.85,68.85,video
193,you,68.85,69.6,video
194,you,69.6,69.9,video
195,want,69.9,70.14,video
196,e,70.14,70.409,video
197,I,70.409,70.68,video
198,prefer,70.68,71.24,video
199,personally,71.25,71.52,video
200,snake,71.52,72.119,video
201,people,72.119,72.33,video
202,serpent,72.33,72.99,video
203,folk,72.99,73.2,video
204,why,73.2,73.46,video
205,would,73.47,73.68,video
206,you,73.68,73.89,video
207,know,73.89,74.1,video
208,what,74.1,74.369,video
209,they,74.369,74.52,video
210,call,74.52,74.76,video
211,themselves,74.76,75.32,video
212,the,75.33,75.57,video
213,scaled,75.57,75.9,video
214,ones,75.9,76.259,video
215,scaly,76.259,76.77,video
216,kind,76.77,77.1,video
217,people,77.1,77.61,video
218,of,77.61,77.79,video
219,you,77.79,77.99,video
220,there's,78.0,78.33,video
221,a,78.33,78.39,video
222,lot,78.39,78.54,video
223,of,78.54,78.63,video
224,different,78.63,78.9,video
225,sort,78.9,79.47,video
226,of,79.47,79.53,video
