,word,start,end,category
0,if,0.199,1.199,video
1,you,1.199,1.74,video
2,saw,1.74,1.949,video
3,a,1.949,1.979,video
4,wormhole,1.979,2.58,video
5,in,2.58,2.82,video
6,reality,2.82,3.449,video
7,it,3.449,3.74,video
8,would,3.75,3.99,video
9,appear,3.99,4.319,video
10,round,4.319,4.65,video
11,spherical,4.65,5.52,video
12,a,5.52,5.97,video
13,bit,5.97,6.33,video
14,like,6.33,6.499,video
15,a,6.509,6.54,video
16,black,6.54,6.81,video
17,hole,6.81,7.4,video
18,light,7.4,8.4,video
19,from,8.4,8.76,video
20,the,8.76,8.88,video
21,other,8.88,9.03,video
22,side,9.03,9.32,video
23,passes,9.33,10.019,video
24,through,10.019,10.26,video
25,and,10.26,10.53,video
26,gives,10.53,10.92,video
27,you,10.92,11.04,video
28,a,11.04,11.07,video
29,window,11.07,11.309,video
30,to,11.309,11.54,video
31,a,11.55,11.7,video
32,faraway,11.7,12.059,video
33,place,12.059,12.95,video
34,once,12.95,13.95,video
35,crossed,13.95,14.34,video
36,the,14.34,14.88,video
37,other,14.88,15.049,video
38,side,15.059,15.36,video
39,comes,15.36,15.69,video
40,for,15.69,15.99,video
41,the,15.99,16.08,video
42,interview,16.08,16.47,video
43,with,16.47,16.89,video
44,your,16.89,17.09,video
45,old,17.1,17.25,video
46,home,17.25,17.52,video
47,now,17.52,17.76,video
48,receding,17.76,18.15,video
49,into,18.15,18.539,video
50,that,18.539,18.65,video
51,shimmering,18.66,19.199,video
52,spherical,19.199,19.8,video
53,window,19.8,20.51,video
54,but,20.51,21.51,video
55,are,21.51,21.71,video
56,wormholes,21.72,22.109,video
57,real,22.109,22.74,video
58,or,22.74,23.16,video
59,are,23.16,23.67,video
60,they,23.67,23.789,video
61,just,23.789,23.82,video
62,magic,23.82,24.62,video
63,disguised,24.63,25.14,video
64,as,25.14,25.439,video
65,physics,25.439,25.83,video
66,amass,25.83,26.279,video
67,if,26.279,26.789,video
68,they,26.789,27.66,video
69,are,27.66,27.83,video
70,real,27.84,28.05,video
71,how,28.05,28.56,video
72,do,28.56,28.619,video
73,they,28.619,28.8,video
74,work,28.8,29.07,video
75,and,29.07,29.279,video
76,where,29.279,30.06,video
77,can,30.06,30.21,video
78,we,30.21,30.349,video
79,find,30.359,30.39,video
80,them,30.39,40.76,video
81,for,40.76,41.76,video
82,most,41.76,41.85,video
83,of,41.85,42.09,video
84,human,42.09,42.21,video
85,history,42.21,42.48,video
86,we,42.48,42.92,video
87,thought,42.93,43.379,video
88,space,43.379,43.71,video
89,was,43.71,43.95,video
90,pretty,43.95,43.98,video
91,simple,43.98,44.67,video
92,a,44.67,44.85,video
93,big,44.85,45.319,video
94,flat,45.329,45.69,video
95,stage,45.69,46.02,video
96,where,46.02,46.53,video
97,the,46.53,46.649,video
98,events,46.649,47.039,video
99,of,47.039,47.19,video
100,the,47.19,47.27,video
101,universe,47.28,47.64,video
102,unfold,47.64,48.18,video
103,even,48.18,48.48,video
104,if,48.48,49.41,video
105,you,49.41,49.53,video
106,take,49.53,49.739,video
107,down,49.739,49.94,video
108,the,49.95,50.16,video
109,set,50.16,50.399,video
110,of,50.399,50.61,video
111,planets,50.61,51.09,video
112,and,51.09,51.27,video
113,stars,51.27,51.6,video
114,there's,51.6,52.22,video
115,still,52.23,52.5,video
116,something,52.5,52.89,video
117,left,52.89,53.42,video
118,that,53.42,54.42,video
119,empty,54.42,54.75,video
120,stage,54.75,55.23,video
121,is,55.23,55.52,video
122,space,55.53,55.829,video
123,and,55.829,56.1,video
124,it,56.1,56.699,video
125,exists,56.699,57.41,video
126,unchanging,57.41,58.41,video
127,and,58.41,58.549,video
128,eternal,58.559,59.57,video
129,Einstein's,59.57,60.57,video
130,theory,60.57,61.079,video
131,of,61.079,61.109,video
132,relativity,61.109,61.569,video
133,changed,61.579,62.579,video
134,that,62.579,62.84,video
135,it,62.84,63.84,video
136,says,63.84,64.229,video
137,that,64.229,64.5,video
138,space,64.5,64.65,video
139,and,64.65,65.07,video
140,time,65.07,65.299,video
141,make,65.309,65.79,video
142,up,65.79,66.0,video
143,that,66.0,66.24,video
144,stage,66.24,66.57,video
145,together,66.57,66.9,video
146,and,66.9,67.439,video
147,they,67.439,68.06,video
148,aren't,68.07,68.49,video
149,the,68.49,68.61,video
150,same,68.61,68.82,video
151,everywhere,68.82,69.71,video
152,the,69.71,70.71,video
153,things,70.71,71.01,video
154,on,71.01,71.359,video
155,the,71.369,71.58,video
156,stage,71.58,71.79,video
157,can,71.79,72.15,video
158,affect,72.15,72.479,video
159,the,72.479,72.659,video
160,stage,72.659,72.9,video
161,itself,72.9,73.28,video
162,stretching,73.29,74.25,video
163,and,74.25,74.4,video
164,warping,74.4,74.85,video
165,it,74.85,75.0,video
166,if,75.0,75.54,video
167,the,75.54,76.53,video
168,old,76.53,76.67,video
169,stage,76.68,77.04,video
170,was,77.04,77.369,video
171,like,77.369,77.52,video
172,unmoving,77.52,78.299,video
173,hardwood,78.299,78.8,video
174,Einstein,78.81,79.74,video
175,stage,79.74,80.13,video
176,is,80.13,80.46,video
177,more,80.46,80.97,video
178,like,80.97,81.18,video
179,a,81.18,81.21,video
