,word,start,end,category
0,this,0.03,0.24,video
1,video,0.24,0.539,video
2,is,0.539,0.69,sponsor
3,sponsored,0.69,0.96,sponsor
4,by,0.96,1.23,sponsor
5,raid,1.23,1.65,sponsor
6,shadow,1.65,2.09,sponsor
7,legend,2.1,2.639,sponsor
8,stay,2.639,2.97,sponsor
9,tuned,2.97,3.27,sponsor
10,for,3.27,3.51,sponsor
11,a,3.51,3.57,sponsor
12,special,3.57,3.75,sponsor
13,offer,3.75,4.94,sponsor
14,so,4.95,5.22,sponsor
15,last,5.22,5.43,sponsor
16,week,5.43,5.609,video
17,the,5.609,5.94,video
18,trailer,5.94,6.33,video
19,for,6.33,6.509,video
20,cats,6.509,6.81,video
21,came,6.81,7.22,video
22,out,7.23,7.41,video
23,and,7.41,7.68,video
24,of,7.68,7.89,video
25,course,7.89,7.919,video
26,everybody,7.919,8.849,video
27,loves,8.849,9.179,video
28,it,9.179,9.45,video
29,but,9.45,9.709,video
30,I,9.719,9.99,video
31,have,9.99,10.5,video
32,a,10.5,10.53,video
33,couple,10.53,10.92,video
34,of,10.92,11.16,video
35,things,11.16,11.46,video
36,that,11.46,11.639,video
37,didn't,11.639,12.62,video
38,really,12.63,12.9,video
39,strike,12.9,13.23,video
40,me,13.23,13.53,video
41,the,13.53,13.679,video
42,right,13.679,13.889,video
43,way,13.889,14.16,video
44,which,14.16,14.58,video
45,is,14.58,14.69,video
46,why,14.7,14.82,video
47,yesterday,14.82,15.15,video
48,I,15.15,15.66,video
49,asked,15.66,16.379,video
50,you,16.379,16.529,video
51,to,16.529,16.8,video
52,help,16.8,16.98,video
53,me,16.98,17.1,video
54,fix,17.1,17.66,video
55,the,17.67,18.359,video
56,cats,18.359,18.69,video
57,trailer,18.69,19.32,video
58,help,19.32,19.77,video
59,me,19.77,19.89,video
60,fix,19.89,20.189,video
61,this,20.189,20.609,video
62,and,20.609,20.9,video
63,this,20.91,21.449,video
64,and,21.449,21.84,video
65,that,21.84,22.38,video
66,just,22.38,23.189,video
67,make,23.189,23.46,video
68,their,23.46,23.699,video
69,faces,23.699,23.97,video
70,cat,23.97,24.74,video
71,faces,24.75,25.17,video
72,now,25.17,25.769,video
73,what,25.769,26.279,video
74,do,26.279,26.34,video
75,you,26.34,26.4,video
76,mean,26.4,26.73,video
77,by,26.73,26.939,video
78,that,26.939,27.17,video
79,that's,27.18,27.359,video
80,a,27.359,27.48,video
81,very,27.48,27.63,video
82,broad,27.63,28.019,video
83,statement,28.019,28.08,video
84,do,28.08,28.859,video
85,you,28.859,28.91,video
86,mean,28.92,29.16,video
87,fix,29.16,29.76,video
88,it,29.76,30.0,video
89,like,30.0,30.179,video
90,that,30.179,30.539,video
91,like,30.539,30.9,video
92,a,30.9,31.16,video
93,cat,32.309,32.85,video
94,face,32.85,33.18,video
95,it,33.18,33.54,video
96,is,33.54,33.719,video
97,an,33.719,33.84,video
98,improvement,33.84,34.17,video
99,I'll,34.17,34.38,video
100,give,34.38,34.52,video
101,you,34.53,34.649,video
102,that,34.649,34.86,video
103,or,34.86,35.13,video
104,maybe,35.13,35.309,video
105,you,35.309,35.489,video
106,meant,35.489,35.67,video
107,like,35.67,35.88,video
108,this,35.88,36.21,video
109,to,36.21,36.56,video
110,preserve,36.57,36.78,video
111,the,36.78,37.17,video
112,giant,37.17,37.77,video
113,foreheads,37.77,38.309,video
114,that,38.309,38.479,video
115,everyone,38.489,39.149,video
116,has,39.149,39.39,video
117,no,39.39,39.87,video
118,I,39.87,39.899,video
119,hate,39.899,40.2,video
120,this,40.2,40.379,video
121,one,40.379,40.59,video
122,ah,40.59,40.77,video
123,this,40.77,41.24,video
124,is,41.25,41.43,video
125,nice,41.43,41.67,video
126,look,41.67,42.36,video
127,how,42.36,42.48,video
128,cute,42.48,42.87,video
129,James,42.87,43.14,video
130,Corden,43.14,43.68,video
131,looks,43.68,43.94,video
132,so,43.95,44.37,video
133,far,44.37,44.579,video
134,we're,44.579,44.76,video
135,off,44.76,44.879,video
136,to,44.879,45.059,video
137,a,45.059,45.09,video
138,hellish,45.09,45.539,video
139,start,45.539,45.96,video
140,or,45.96,46.19,video
141,maybe,46.2,46.5,video
142,you,46.5,46.649,video
143,meant,46.649,46.829,video
144,the,46.829,47.07,video
145,little,47.07,47.489,video
146,kind,47.489,48.059,video
147,of,48.059,48.18,video
148,cat,48.18,48.5,video
149,you,48.51,49.05,video
150,didn't,49.05,49.26,video
151,specify,49.26,49.559,video
152,so,49.559,50.19,video
153,we're,50.19,50.34,video
154,all,50.34,50.43,video
155,just,50.43,50.45,video
156,kind,50.46,50.73,video
157,of,50.73,50.85,video
158,winging,50.85,51.09,video
159,it,51.09,51.3,video
160,okay,51.3,51.78,video
161,no,51.78,52.35,video
162,why,52.35,53.01,video
163,does,53.01,53.07,video
164,she,53.07,53.42,video
165,look,53.43,53.64,video
166,like,53.64,53.67,video
167,the,53.67,53.94,video
168,cat,53.94,54.51,video
169,in,54.51,54.84,video
170,the,54.84,55.05,video
171,movie,55.05,55.559,video
172,cats,55.559,55.85,video
173,don't,55.86,56.219,video
174,dance,56.219,56.61,video
175,don't,56.61,56.879,video
176,think,56.879,57.3,video
177,I,57.3,57.36,video
178,forgot,57.36,57.719,video
179,about,57.719,57.86,video
180,that,57.87,58.05,video
181,movie,58.05,58.59,video
182,put,58.59,58.92,video
183,them,58.92,59.129,video
184,in,59.129,59.28,video
185,fur,59.28,59.67,video
186,suits,59.67,60.12,video
187,even,60.12,60.709,video
188,fur,60.719,61.23,video
189,suits,61.23,61.62,video
190,would,61.62,61.89,video
191,be,61.89,62.07,video
192,an,62.07,62.219,video
193,improvement,62.219,62.579,video
194,you,62.579,62.93,video
195,say,62.94,63.149,video
196,that,63.149,63.39,video
197,now,63.39,63.66,video
198,you,63.66,64.26,video
199,say,64.26,64.589,video
200,that,64.589,64.92,video
201,now,64.92,65.22,video
202,would,65.22,65.58,video
203,you,65.58,65.66,video
204,like,65.67,65.85,video
205,to,65.85,66.0,video
206,take,66.0,66.21,video
207,back,66.21,66.479,video
208,what,66.479,66.75,video
209,you,66.75,66.93,video
210,said,66.93,67.46,video
211,do,67.47,67.799,video
212,you,67.799,67.89,video
213,still,67.89,68.189,video
214,firmly,68.189,68.64,video
215,believe,68.64,69.119,video
216,in,69.119,69.15,video
217,your,69.15,69.44,video
218,statement,69.45,70.08,video
219,this,70.08,70.35,video
220,person,70.35,70.86,video
221,has,70.86,71.04,video
222,so,71.04,71.34,video
223,much,71.34,71.49,video
224,talent,71.49,71.84,video
225,in,71.85,72.24,video
226,Photoshop,72.24,73.02,video
227,and,73.02,73.229,video
228,this,73.229,73.409,video
229,is,73.409,73.56,video
230,what,73.56,73.74,video
