,word,start,end,category
0,we,0.03,0.149,video
1,had,0.149,0.329,video
2,a,0.329,0.359,video
3,bit,0.359,0.51,video
4,of,0.51,0.599,video
5,a,0.599,0.659,video
6,hard,0.659,0.87,video
7,time,0.87,1.079,video
8,figuring,1.079,1.35,video
9,out,1.35,1.699,video
10,exactly,1.709,2.429,video
11,what,2.429,2.669,video
12,to,2.669,2.79,video
13,make,2.79,2.939,video
14,this,2.939,3.09,video
15,video,3.09,3.27,video
16,about,3.27,3.419,video
17,on,3.419,3.889,video
18,the,3.899,4.47,video
19,one,4.47,4.62,video
20,hand,4.62,4.89,video
21,it's,4.89,5.19,video
22,obviously,5.19,5.85,video
23,about,5.85,6.24,video
24,the,6.24,6.53,video
25,razor,6.54,6.75,video
26,blade,6.75,7.109,video
27,2019,7.109,7.95,video
28,which,7.95,8.099,video
29,is,8.099,8.22,video
30,a,8.22,8.25,video
31,super,8.25,8.76,video
32,sick,8.76,9.02,video
33,laptop,9.03,9.54,video
34,it's,9.54,9.929,video
35,powerful,9.929,10.349,video
36,it's,10.349,11.01,video
37,got,11.01,11.219,video
38,rigid,11.219,11.81,video
39,construction,11.82,12.24,video
40,it's,12.24,12.84,video
41,got,12.84,13.17,video
42,great,13.17,13.41,video
43,features,13.41,13.61,video
44,it's,13.62,14.04,video
45,pretty,14.04,14.19,video
46,much,14.19,14.309,video
47,the,14.309,14.519,video
48,complete,14.519,14.849,video
49,package,14.849,15.079,video
50,but,15.089,15.69,video
51,on,15.69,15.809,video
52,the,15.809,15.99,video
53,other,15.99,16.139,video
54,hand,16.139,16.32,video
55,it's,16.32,17.1,video
56,also,17.1,17.34,video
57,the,17.34,17.779,video
58,first,17.789,18.09,video
59,gaming,18.09,18.57,video
60,laptop,18.57,19.02,video
61,in,19.02,19.26,video
62,three,19.26,19.83,video
63,years,19.83,20.25,video
64,to,20.25,20.52,video
65,be,20.52,20.599,video
66,available,20.609,21.09,video
67,with,21.09,21.3,video
68,an,21.3,21.449,video
69,OLED,21.449,22.05,video
70,display,22.05,22.529,video
71,so,22.529,22.949,video
72,I,22.949,22.97,video
73,guess,22.98,23.25,video
74,we're,23.25,23.46,video
75,also,23.46,23.699,video
76,going,23.699,24.269,video
77,to,24.269,24.39,video
78,have,24.39,24.539,video
79,to,24.539,24.689,video
80,take,24.689,24.81,video
81,a,24.81,24.859,video
82,deep,24.869,25.199,video
83,dive,25.199,25.23,video
84,into,25.23,25.71,video
85,that,25.71,26.13,video
86,because,26.13,26.55,video
87,there,26.55,26.939,video
88,are,26.939,27.05,video
89,things,27.06,27.33,video
90,that,27.33,27.48,video
91,we,27.48,27.75,video
92,love,27.75,28.109,video
93,about,28.109,28.14,video
94,it,28.14,28.59,video
95,but,28.59,28.92,video
96,also,28.92,29.12,video
97,some,29.13,29.699,video
98,things,29.699,29.91,video
99,that,29.91,30.119,video
100,left,30.119,30.3,video
101,us,30.3,30.51,video
102,kind,30.51,31.05,video
103,of,31.05,31.189,video
104,scratching,31.199,31.65,video
105,our,31.65,31.769,video
106,heads,31.769,32.009,sponsor
107,what's,32.009,32.64,sponsor
108,going,32.64,32.94,sponsor
109,in,32.94,33.059,sponsor
110,and,33.059,33.17,sponsor
111,out,33.18,33.27,sponsor
112,of,33.27,33.42,sponsor
113,your,33.42,33.51,sponsor
114,PC,33.51,34.02,sponsor
115,when,34.02,34.26,sponsor
116,you're,34.26,34.38,sponsor
117,connected,34.38,34.8,sponsor
118,to,34.8,34.819,sponsor
119,the,34.829,34.92,sponsor
120,Internet,34.92,35.569,sponsor
121,well,35.579,35.91,sponsor
122,with,35.91,36.09,sponsor
123,glasswire,36.09,36.6,sponsor
124,you,36.6,36.899,sponsor
125,can,36.899,37.11,sponsor
126,find,37.11,37.469,sponsor
127,out,37.469,37.71,sponsor
128,and,37.71,37.94,sponsor
129,see,37.95,38.19,sponsor
130,if,38.19,38.28,sponsor
131,there,38.28,38.46,sponsor
132,are,38.46,38.489,sponsor
133,any,38.489,38.579,sponsor
134,suspicious,38.579,38.94,sponsor
135,or,38.94,39.54,sponsor
136,badly,39.54,39.979,sponsor
137,behaving,39.989,40.559,sponsor
138,apps,40.559,40.71,sponsor
139,use,40.71,41.07,sponsor
140,offer,41.07,41.28,sponsor
141,code,41.28,41.55,sponsor
142,line,41.55,41.73,sponsor
143,is,41.73,41.91,sponsor
144,to,41.91,41.99,sponsor
145,get,42.0,42.12,sponsor
146,25,42.12,42.54,sponsor
147,percent,42.54,42.719,sponsor
148,off,42.719,42.989,sponsor
149,at,42.989,43.17,sponsor
150,the,43.17,43.29,sponsor
151,link,43.29,43.5,sponsor
152,in,43.5,43.62,sponsor
153,the,43.62,43.85,sponsor
154,video,43.86,43.95,sponsor
155,description,43.95,45.89,video
156,let's,53.37,54.37,video
157,not,54.37,54.55,video
158,beat,54.55,54.73,video
159,around,54.73,54.85,video
160,the,54.85,55.06,video
161,bush,55.06,55.27,video
162,here,55.27,55.5,video
163,looking,55.51,56.29,video
164,at,56.29,56.44,video
165,this,56.44,56.68,video
166,Samsung,56.68,57.64,video
167,manufactured,57.64,58.47,video
168,display,58.48,58.93,video
169,is,58.93,59.23,video
170,a,59.23,59.77,video
171,treat,59.77,60.63,video
172,600,60.63,61.63,video
173,nits,61.63,61.84,video
174,peak,61.84,62.1,video
175,brightness,62.11,63.03,video
176,100%,63.03,64.03,video
177,DCI,64.03,64.449,video
178,p3,64.449,64.54,video
179,coverage,64.54,65.41,video
180,HDR,65.41,66.25,video
181,400,66.25,66.87,video
182,certification,66.88,67.57,video
183,and,67.57,67.75,video
184,calibration,67.75,68.71,video
185,from,68.71,69.07,video
186,the,69.07,69.21,video
187,factory,69.22,69.58,video
188,and,69.58,69.73,video
189,just,69.73,70.12,video
190,looking,70.12,70.84,video
191,at,70.84,70.99,video
192,the,70.99,71.17,video
193,desktop,71.17,71.58,video
194,backgrounds,71.59,72.28,video
195,like,72.28,72.4,video
196,hahaha,72.4,73.68,video
197,good,73.68,74.68,video
198,the,74.68,74.95,video
199,colors,74.95,75.48,video
200,I,75.49,75.82,video
201,mean,75.82,76.03,video
202,even,76.03,76.24,video
203,just,76.24,76.27,video
204,opening,76.27,76.78,video
205,the,76.78,76.9,video
206,settings,76.9,77.31,video
207,menu,77.32,77.5,video
208,which,77.5,77.92,video
209,is,77.92,78.07,video
210,in,78.07,78.22,video
211,dark,78.22,78.55,video
212,mode,78.55,78.82,video
213,by,78.82,79.03,video
214,default,79.03,79.62,video
215,nice,79.63,79.81,video
216,touch,79.81,80.11,video
217,Razer,80.11,80.38,video
218,is,80.38,80.65,video
219,super,80.65,81.55,video
220,satisfying,81.55,82.11,video
221,like,82.12,82.53,video
222,600,82.53,83.53,video
223,nits,83.53,83.8,video
224,with,83.8,84.4,video
225,perfect,84.4,85.0,video
226,blacks,85.0,85.3,video
227,means,85.3,85.95,video
228,an,85.96,86.17,video
229,incredible,86.17,86.979,video
230,contrast,86.979,87.55,video
231,ratio,87.55,88.0,video
232,that,88.0,88.21,video
233,just,88.21,88.38,video
234,makes,88.39,88.6,video
235,all,88.6,88.81,video
236,the,88.81,89.32,video
237,text,89.32,89.77,video
238,and,89.77,89.86,video
239,icons,89.86,90.67,video
240,jump,90.67,91.54,video
241,out,91.54,91.72,video
242,at,91.72,91.89,video
243,overall,92.229,93.13,video
244,this,93.13,93.91,video
245,right,93.91,94.24,video
246,here,94.24,94.63,video
247,is,94.63,94.81,video
248,the,94.81,95.44,video
249,most,95.44,95.55,video
250,satisfying,95.56,96.46,video
251,display,96.46,97.03,video
252,that,97.03,97.42,video
253,we,97.42,97.509,video
254,have,97.509,97.66,video
255,ever,97.66,97.92,video
256,seen,97.93,98.44,video
257,on,98.44,98.619,video
258,a,98.619,98.68,video
259,laptop,98.68,99.18,video
260,for,99.18,100.18,video
261,watching,100.18,100.63,video
262,Netflix,100.63,101.359,video
263,the,101.369,102.369,video
264,thing,102.369,102.55,video
265,is,102.55,102.729,video
266,buying,102.729,103.63,video
267,a,103.63,104.009,video
268,"$3,300",104.009,105.009,video
269,machine,105.009,105.46,video
270,to,105.46,105.93,video
271,just,105.94,106.15,video
272,watch,106.15,106.33,video
273,Netflix,106.33,106.6,video
274,is,106.6,107.2,video
275,maybe,107.2,108.009,video
276,not,108.009,108.49,video
277,the,108.49,109.0,video
278,best,109.0,109.02,video
279,idea,109.03,109.57,video
280,ever,109.57,109.99,video
281,so,109.99,110.56,video
282,let's,110.56,111.25,video
283,investigate,111.25,111.67,video
284,some,111.67,112.14,video
285,other,112.15,112.39,video
286,use,112.39,112.66,video
287,cases,112.66,113.249,video
288,fortunately,113.259,113.92,video
289,the,113.92,114.28,video
290,blade,114.28,114.49,video
291,20:19,114.49,115.24,video
292,has,115.24,115.57,video
293,the,115.57,115.859,video
294,specs,115.869,116.259,video
295,to,116.259,116.53,video
296,back,116.53,117.01,video
297,up,117.01,117.25,video
298,that,117.25,117.28,video
299,price,117.28,117.73,video
300,rocking,117.73,118.18,video
301,an,118.18,118.23,video
302,Intel,118.24,118.57,video
303,Core,118.57,118.81,video
304,i7,118.81,118.93,video
305,9750,118.93,119.8,video
306,h6,119.8,120.49,video
307,core,120.49,120.76,video
308,processor,120.76,121.32,video
309,16,121.32,122.31,video
310,gigs,122.32,122.56,video
311,of,122.56,122.77,video
312,upgradeable,122.77,123.55,video
313,sodium,123.55,124.0,video
314,ran,124.0,124.21,video
315,in,124.21,124.42,video
316,dual,124.42,124.62,video
317,channel,124.63,125.11,video
318,and,125.11,125.29,video
319,an,125.29,126.01,video
320,NVIDIA,126.01,126.4,video
321,r-tx,126.4,126.97,video
322,2080,126.97,127.57,video
323,max-q,127.57,128.4,video
324,which,128.41,128.89,video
325,will,128.89,129.04,video
326,allow,129.04,129.22,video
327,you,129.22,129.28,video
328,to,129.28,129.489,video
329,really,129.489,129.76,video
330,crank,129.76,130.239,video
331,up,130.239,130.35,video
332,the,130.36,130.51,video
333,details,130.51,130.899,video
334,in,130.899,131.08,video
335,your,131.08,131.11,video
336,games,131.11,131.44,video
337,at,131.44,131.739,video
338,4k,131.739,132.55,video
339,while,132.55,133.38,video
340,you're,133.39,133.54,video
341,at,133.54,133.63,video
342,it,133.63,133.66,video
343,by,133.66,133.87,video
344,the,133.87,133.93,video
345,way,133.93,134.14,video
346,you,134.14,134.56,video
347,might,134.56,134.769,video
348,as,134.769,134.88,video
349,well,134.89,134.92,video
350,even,134.92,135.22,video
351,turn,135.22,135.55,video
352,on,135.55,135.58,video
353,r-tx,135.58,136.209,video
354,since,136.209,136.989,video
355,the,136.989,137.23,video
356,one,137.23,137.4,video
357,thing,137.41,137.65,video
358,that,137.65,137.8,video
359,you,137.8,137.95,video
360,won't,137.95,138.22,video
361,be,138.22,138.519,video
362,getting,138.519,138.79,video
363,out,138.79,138.91,video
364,of,138.91,138.93,video
365,this,138.94,139.15,video
366,display,139.15,139.6,video
367,is,139.6,139.81,video
368,more,139.81,140.26,video
369,frames,140.26,140.739,video
370,per,140.739,140.98,video
371,second,140.98,141.5,video
372,unfortunately,141.51,142.51,video
373,due,142.51,142.959,video
374,to,142.959,142.989,video
375,its,142.989,143.32,video
376,4k,143.32,143.65,video
377,resolution,143.65,144.509,video
378,this,144.519,144.91,video
379,OLED,144.91,145.39,video
380,panel,145.39,145.78,video
381,won't,145.78,145.959,video
382,do,145.959,146.2,video
383,anything,146.2,146.62,video
384,over,146.62,147.12,video
385,60,147.13,147.519,video
386,Hertz,147.519,147.76,video
387,and,147.76,148.019,video
388,it,148.019,149.019,video
389,doesn't,149.019,149.38,video
390,even,149.38,149.47,video
391,have,149.47,149.65,video
392,G,149.65,150.13,video
393,sync,150.13,150.39,video
394,which,150.4,150.91,video
395,means,150.91,151.15,video
396,that,151.15,151.39,video
397,for,151.39,151.6,video
398,gamers,151.6,151.9,video
399,I,151.9,152.549,video
400,simply,152.549,153.539,video
401,can't,153.549,154.03,video
402,recommend,154.03,154.75,video
403,the,154.75,154.87,video
404,OLED,154.87,155.35,video
405,display,155.35,155.83,video
406,model,155.83,156.24,video
407,of,156.25,156.37,video
408,the,156.37,156.459,video
409,blade,156.459,156.7,video
410,2019,156.7,157.68,video
411,especially,157.68,158.68,video
412,when,158.68,158.82,video
413,there's,158.83,159.01,video
414,an,159.01,159.13,video
415,option,159.13,159.61,video
416,to,159.61,159.76,video
417,equip,159.76,160.09,video
418,this,160.09,160.239,video
419,computer,160.239,160.77,video
420,with,160.78,160.93,video
421,a,160.93,161.13,video
422,240,161.13,162.13,video
423,Hertz,162.13,162.36,video
424,1080p,162.36,163.36,video
425,IPS,163.36,163.65,video
426,panel,163.65,164.65,video
427,which,164.65,165.24,video
428,will,165.25,165.37,video
429,not,165.37,165.549,video
430,only,165.549,165.58,video
431,give,165.58,165.94,video
432,you,165.94,166.03,video
433,a,166.03,166.06,video
434,considerable,166.06,166.68,video
435,competitive,166.69,167.56,video
436,advantage,167.56,168.07,video
437,but,168.07,168.73,video
438,it'll,168.73,168.91,video
439,just,168.91,169.11,video
440,make,169.12,169.239,video
441,everything,169.239,169.57,video
442,feel,169.57,169.989,video
443,way,169.989,170.59,video
444,smoother,170.59,171.37,video
445,while,171.37,171.96,video
446,even,171.97,172.51,video
447,saving,172.51,172.78,video
448,you,172.78,172.989,video
449,a,172.989,173.019,video
450,buck,173.019,173.29,video
451,it,173.29,173.53,video
452,is,173.53,173.94,video
453,$300,173.94,174.93,video
454,cheaper,174.94,175.36,video
455,now,175.36,175.75,video
456,this,175.75,175.959,video
457,might,175.959,176.14,video
458,be,176.14,176.26,video
459,a,176.26,176.29,video
460,bit,176.29,176.41,video
461,of,176.41,176.5,video
462,a,176.5,176.55,video
463,tangent,176.56,177.04,video
464,but,177.04,177.16,video
465,I,177.16,177.519,video
466,haven't,177.519,177.73,video
467,griped,177.73,178.03,video
468,about,178.03,178.12,video
469,it,178.12,178.35,video
470,recently,178.36,178.72,video
471,and,178.72,178.959,video
472,I,178.959,179.019,video
473,feel,179.019,179.23,video
474,like,179.23,179.35,video
475,I've,179.35,179.5,video
476,got,179.5,179.65,video
477,to,179.65,179.68,video
478,get,179.68,179.789,video
479,it,179.799,179.92,video
480,out,179.92,179.98,video
481,of,179.98,180.1,video
482,my,180.1,180.19,video
483,system,180.19,180.549,video
484,I,180.549,180.79,video
485,feel,180.79,181.63,video
486,like,181.63,181.84,video
487,there's,181.84,182.07,video
488,disconnect,183.069,184.069,video
489,between,184.069,184.45,video
490,display,184.45,185.45,video
491,marketing,185.45,186.23,video
492,and,186.23,186.449,video
493,panel,186.459,187.459,video
494,manufacturers,187.459,188.239,video
495,and,188.239,188.569,video
496,what,188.569,189.56,video
497,would,189.56,189.699,video
498,actually,189.709,190.159,video
499,be,190.159,190.28,video
500,best,190.28,190.519,video
501,for,190.519,190.849,video
502,consumers,190.849,191.51,video
503,thing,191.51,192.379,video
504,is,192.379,192.58,video
505,4k,192.59,193.31,video
506,sounds,193.31,194.239,video
507,like,194.239,194.359,video
508,a,194.359,194.39,video
509,great,194.39,194.9,video
510,idea,194.9,194.959,video
511,on,194.959,195.59,video
512,paper,195.59,195.64,video
513,but,195.64,196.63,video
514,this,196.64,197.42,video
515,is,197.42,197.629,video
516,a,197.629,197.75,video
517,15,197.75,198.409,video
518,inch,198.409,198.59,video
519,display,198.59,199.069,video
520,not,199.069,199.73,video
521,a,199.73,199.959,video
522,65,199.959,200.959,video
523,inch,200.959,201.55,video
524,one,201.56,201.829,video
525,and,201.829,202.04,video
526,you,202.04,202.609,video
527,would,202.609,202.76,video
528,actually,202.76,202.969,video
529,need,202.969,203.359,video
530,to,203.359,203.51,video
531,get,203.51,203.649,video
532,within,203.659,203.87,video
533,11,203.87,204.769,video
534,inches,204.769,205.28,video
535,of,205.28,205.489,video
536,this,205.489,205.67,video
537,thing,205.67,205.909,video
538,like,205.909,206.08,video
539,uncomfortably,206.09,206.989,video
540,close,206.989,207.23,video
541,to,207.23,207.7,video
542,actually,207.7,208.7,video
543,make,208.7,208.879,video
544,out,208.879,209.08,video
545,the,209.09,209.329,video
546,individual,209.329,209.93,video
547,pixels,209.93,210.139,video
548,that's,210.139,211.01,video
549,four,211.01,211.579,video
550,and,211.579,211.73,video
551,a,211.73,211.75,video
552,half,211.76,211.939,video
553,inches,211.939,212.329,video
554,closer,212.329,212.659,video
555,than,212.659,213.26,video
556,even,213.26,213.769,video
557,the,213.769,213.94,video
558,MacBooks,213.95,214.519,video
559,Retina,214.519,215.359,video
560,display,215.359,215.769,video
561,so,215.769,216.769,video
562,for,216.769,217.43,video
563,my,217.43,217.579,video
564,part,217.579,217.849,video
565,I,217.849,218.14,video
566,would,218.15,218.419,video
567,much,218.419,219.049,video
568,rather,219.049,219.079,video
569,see,219.079,219.769,video
570,a,219.769,219.799,video
571,company,219.799,220.25,video
572,like,220.25,220.42,video
573,Samsung,220.43,221.06,video
574,invests,221.06,221.72,video
575,in,221.72,221.84,video
576,a,221.84,222.129,video
577,1440p,222.129,223.15,video
578,OLED,223.15,224.15,video
579,panel,224.15,224.53,video
580,with,224.54,225.019,video
581,like,225.019,225.26,video
582,a,225.26,225.579,video
583,120,225.579,226.579,video
584,Hertz,226.579,226.79,video
