,word,start,end,category
0,so,0.03,0.87,video
1,James,0.87,1.14,video
2,and,1.14,1.35,video
3,I,1.35,1.439,video
4,haven't,1.439,1.77,video
5,really,1.77,2.01,video
6,reached,2.01,2.31,video
7,a,2.31,2.51,video
8,consensus,2.52,3.179,video
9,on,3.179,3.419,video
10,why,3.419,3.75,video
11,exactly,3.75,4.41,video
12,it,4.41,4.5,video
13,is,4.5,4.56,video
14,we,4.56,4.89,video
15,are,4.89,5.059,video
16,doing,5.069,5.279,video
17,this,5.279,5.549,video
18,video,5.549,5.73,video
19,do,5.73,6.089,video
20,you,6.089,6.12,video
21,mind,6.12,6.27,video
22,grabbing,6.27,6.42,video
23,an,6.42,6.65,video
24,end,6.66,6.81,video
25,oh,6.81,6.99,video
26,wow,6.99,7.2,video
27,I,7.2,7.23,video
28,don't,7.23,7.44,video
29,need,7.44,7.71,video
30,it,7.71,7.83,video
31,it's,7.83,7.98,video
32,really,7.98,8.15,video
33,not,8.16,8.34,video
34,very,8.34,8.4,video
35,heavy,8.4,8.76,video
36,but,8.76,8.88,video
37,thank,8.88,9.33,video
38,you,9.33,9.389,video
39,anyway,9.389,10.61,video
40,he,10.61,11.6,video
41,figures,11.61,12.059,video
42,it's,12.059,12.509,video
43,because,12.509,13.61,video
44,well,13.61,14.61,video
45,we,14.61,14.79,video
46,keep,14.79,14.969,video
47,doing,14.969,15.289,video
48,all,15.299,15.42,video
49,these,15.42,15.57,video
50,cheap,15.57,15.9,video
51,display,15.9,16.32,video
52,videos,16.32,16.68,video
53,yeah,16.68,17.01,video
54,and,17.01,17.33,video
55,then,17.34,17.76,video
56,we,17.76,17.91,video
57,were,17.91,18.0,video
58,doing,18.0,18.119,video
59,these,18.119,18.359,video
60,Walmart,18.359,18.84,video
61,videos,18.84,19.16,video
62,so,19.83,20.34,video
63,why,20.34,20.46,video
64,not,20.46,20.64,video
65,just,20.64,20.699,video
66,make,20.699,21.24,video
67,a,21.24,22.17,video
68,sandwich,22.17,22.74,video
69,of,22.74,22.859,video
70,those,22.859,23.0,video
71,two,23.01,23.369,video
72,you,23.369,24.119,video
73,know,24.119,24.24,video
74,what,24.24,24.269,video
75,sure,24.269,24.689,video
76,let's,24.689,24.93,video
77,go,24.93,25.08,video
78,with,25.08,25.099,video
79,that,25.109,25.32,video
80,so,25.32,25.92,video
81,this,25.92,26.16,video
82,is,26.16,26.46,video
83,the,26.46,28.97,video
84,43,28.97,29.97,video
85,inch,29.97,30.179,video
86,LED,30.179,30.51,video
87,HDTV,30.51,31.42,video
88,class,31.43,32.43,video
89,full,32.43,33.09,video
90,class,33.09,33.42,video
91,and,33.42,33.84,video
92,we're,33.84,34.38,video
93,gonna,34.38,34.559,video
94,find,34.559,34.85,video
95,out,34.86,35.07,video
96,if,35.07,35.34,video
97,how,35.34,35.52,video
98,much,35.52,35.64,video
99,does,35.64,35.82,video
100,this,35.82,35.94,video
101,thing,35.94,36.0,video
102,cost,36.0,36.39,video
103,I,36.39,36.709,video
104,think,36.719,37.26,video
105,a,37.26,37.35,video
106,hundred,37.35,37.68,video
107,and,37.68,37.77,video
108,sixty,37.77,38.16,video
109,eight,38.16,38.19,video
110,bucks,38.19,38.51,video
111,some,38.52,38.79,video
112,people,38.79,39.09,video
113,have,39.09,39.18,video
114,got,39.18,39.329,video
115,it,39.329,39.36,video
116,for,39.36,39.54,video
117,125,39.54,40.26,video
118,on,40.26,40.49,video
119,clearance,40.5,40.92,video
120,we're,40.92,41.489,video
121,gonna,41.489,41.579,video
122,find,41.579,41.91,video
123,out,41.91,42.12,video
124,if,42.12,42.27,video
125,the,42.27,42.42,video
126,43,42.42,42.979,video
127,inch,42.989,43.399,video
128,125,43.399,44.399,video
129,dollar,44.399,44.73,video
130,TV,44.73,45.149,video
131,is,45.149,45.539,video
132,worth,45.539,46.469,video
133,one,46.469,46.649,video
134,hundred,46.649,46.7,video
135,and,46.71,46.98,video
136,twenty,46.98,47.19,video
137,five,47.19,47.219,video
138,dollars,47.219,47.82,video
139,if,47.82,48.329,video
140,it,48.329,48.51,video
141,even,48.51,48.66,video
142,makes,48.66,48.979,video
143,it,48.989,49.14,video
144,to,49.14,49.289,video
145,you,49.289,49.41,video
146,alive,49.41,49.8,video
147,really,49.8,50.73,video
148,shaking,50.73,51.149,video
149,your,51.149,51.36,video
150,head,51.36,51.5,video
151,and,51.51,52.26,sponsor
152,this,52.26,52.53,sponsor
153,video,52.53,52.829,sponsor
154,is,52.829,52.98,sponsor
