,word,start,end,category
0,discount,0.48,1.04,video
1,sites,1.04,1.36,video
2,like,1.36,1.599,video
3,deal,1.599,1.839,video
4,extreme,1.839,2.47,video
5,aliexpress,2.48,3.199,video
6,and,3.199,3.36,video
7,ebay,3.36,3.76,video
8,can,3.76,4.0,video
9,be,4.0,4.16,video
10,a,4.16,4.47,video
11,great,4.48,4.96,video
12,way,4.96,5.279,video
13,to,5.279,5.44,video
14,get,5.44,5.759,video
15,awesome,5.759,6.16,video
16,deals,6.16,6.48,video
17,on,6.48,6.72,video
18,used,6.72,7.349,video
19,or,7.359,7.6,video
20,off-brand,7.6,8.16,video
21,tech,8.16,8.48,video
22,products,8.48,9.11,video
23,and,9.12,9.36,video
24,if,9.36,9.44,video
25,you're,9.44,9.599,video
26,like,9.599,9.84,video
27,me,9.84,10.48,video
28,and,10.48,10.719,video
29,you're,10.719,10.96,video
30,kind,10.96,11.12,video
31,of,11.12,11.27,video
32,a,11.28,11.599,video
33,gigantic,11.599,12.16,video
34,cheapskate,12.16,13.11,video
35,the,13.12,13.28,video
36,prospect,13.28,13.84,video
37,of,13.84,14.0,video
38,saving,14.0,14.4,video
39,money,14.4,15.04,video
40,can,15.04,15.36,video
41,be,15.36,15.589,video
42,pretty,15.599,15.92,video
43,enticing,15.92,17.269,video
44,but,17.279,18.24,video
45,today's,18.24,18.8,video
46,video,18.8,19.6,video
47,is,19.6,20.39,video
48,a,20.4,20.64,video
49,cautionary,20.64,21.439,video
50,one,21.439,22.08,video
51,a,22.08,22.32,video
52,buyer,22.32,22.88,video
53,beware,22.88,23.6,video
54,tale,23.6,24.31,video
55,of,24.32,24.48,video
56,making,24.48,24.88,video
57,sure,24.88,25.039,video
58,that,25.039,25.199,video
59,you,25.199,25.519,video
60,think,25.519,25.92,video
61,critically,25.92,26.87,video
62,about,26.88,27.199,video
63,a,27.199,27.279,video
64,great,27.279,27.599,video
65,deal,27.599,28.15,video
66,before,28.16,28.72,video
67,pulling,28.72,29.039,video
68,the,29.039,29.199,video
69,trigger,29.199,29.92,video
70,because,29.92,30.4,video
71,even,30.4,30.71,video
72,one,31.439,31.84,video
73,dollar,31.84,32.64,video
74,is,32.64,32.8,video
75,a,32.8,33.12,video
76,waste,33.12,33.52,video
77,of,33.52,33.68,video
78,money,33.68,34.16,video
79,if,34.16,34.32,video
80,you,34.32,34.47,video
81,don't,34.48,34.719,video
82,get,34.719,34.96,video
83,anything,34.96,35.43,video
84,useful,35.44,35.84,video
85,in,35.84,35.92,video
86,return,35.92,36.88,video
87,for,36.88,37.12,video
88,example,37.12,38.079,video
89,this,38.079,38.709,video
90,usb2,38.719,39.68,video
91,ethernet,39.68,40.239,video
92,adapter,40.239,40.96,video
93,that,40.96,41.2,video
94,is,41.2,41.44,video
95,advertised,41.44,42.389,video
96,as,42.399,42.719,video
97,being,42.719,43.28,video
98,10,43.28,44.0,video
99,gigabit,44.0,44.559,video
100,ready,44.559,45.2,video
101,for,45.2,45.36,video
102,just,45.36,45.68,video
103,over,45.68,46.31,video
104,four,46.32,46.64,video
105,dollars,46.64,47.12,video
106,a,47.12,47.2,video
107,piece,47.2,47.6,video
108,is,47.6,47.76,video
109,very,47.76,48.069,video
110,eye-catching,48.079,48.8,video
111,but,48.8,48.96,video
112,as,48.96,49.2,video
113,we're,49.2,49.44,video
114,going,49.44,49.6,video
115,to,49.6,49.84,video
116,see,49.84,50.47,video
117,a,50.48,50.64,video
118,lot,50.64,50.8,video
119,of,50.8,50.96,video
120,the,50.96,51.12,video
121,time,51.12,51.6,video
122,things,51.6,51.92,video
123,like,51.92,52.239,video
124,this,52.239,52.879,video
125,are,52.879,53.189,video
126,too,53.76,54.16,video
127,good,54.16,54.48,video
128,to,54.48,54.64,video
129,be,54.64,54.8,video
130,true,54.8,56.719,sponsor
131,unlike,56.719,57.12,sponsor
132,our,57.12,57.28,sponsor
133,sponsor,57.28,57.67,sponsor
134,thermaltake,57.68,58.32,sponsor
135,and,58.32,58.48,sponsor
136,their,58.48,58.719,sponsor
137,a500,58.719,59.52,sponsor
138,case,59.52,59.76,sponsor
139,which,59.76,59.99,sponsor
140,features,60.0,60.32,sponsor
141,a,60.32,60.48,sponsor
142,modern,60.48,61.029,sponsor
143,minimalistic,61.039,61.76,sponsor
144,design,61.76,62.32,sponsor
145,brushed,62.32,62.64,sponsor
146,aluminum,62.64,63.029,sponsor
147,panels,63.039,63.44,sponsor
148,and,63.44,63.68,sponsor
149,dual,63.68,64.08,sponsor
150,hinge,64.08,64.32,sponsor
151,swing,64.32,64.559,sponsor
152,tempered,64.559,64.95,sponsor
153,glass,64.96,65.199,sponsor
154,doors,65.199,65.75,sponsor
155,check,65.76,65.92,sponsor
156,it,65.92,66.0,sponsor
157,out,66.0,66.159,sponsor
158,today,66.159,66.4,sponsor
159,at,66.4,66.479,sponsor
160,the,66.479,66.64,sponsor
161,link,66.64,70.84,video
162,below,70.84,72.4,video
163,so,76.96,77.119,video
164,you,77.119,77.28,video
165,might,77.28,77.6,video
166,understandably,77.6,78.479,video
