,word,start,end,category
0,this,0.03,0.179,video
1,video,0.179,0.45,video
2,has,0.45,0.57,video
3,been,0.57,0.659,video
4,sponsored,0.659,0.9,video
5,by,0.9,1.14,video
6,Nord,1.14,1.49,video
7,VPN,1.5,2.07,sponsor
8,get,2.07,2.37,sponsor
9,an,2.37,2.46,sponsor
10,order,2.46,2.639,sponsor
11,VPN,2.639,3.03,sponsor
12,comm,3.03,3.449,sponsor
13,for,3.449,3.72,sponsor
14,its,3.72,3.87,sponsor
15,lush,3.87,3.98,sponsor
16,Austin,3.99,4.38,sponsor
17,eruption,4.38,4.799,sponsor
18,to,4.799,4.89,sponsor
19,protect,4.89,5.25,sponsor
20,your,5.25,5.4,sponsor
21,privacy,5.4,5.63,sponsor
22,online,5.64,6.12,sponsor
23,today,6.12,6.68,sponsor
24,it's,6.68,7.68,video
25,pretty,7.68,8.04,video
26,rare,8.04,8.34,video
27,that,8.34,8.639,video
28,a,8.639,8.69,video
29,product,8.7,9.09,video
30,stands,9.09,9.54,video
31,the,9.54,9.78,video
32,test,9.78,9.99,video
33,of,9.99,10.2,video
34,time,10.2,10.26,video
35,we've,10.26,11.0,video
36,seen,11.01,11.25,video
37,so,11.25,11.519,video
38,many,11.519,11.67,video
39,video,11.67,12.0,video
40,game,12.0,12.21,video
41,franchises,12.21,12.75,video
42,pop,12.75,13.16,video
43,up,13.17,13.41,video
44,have,13.41,13.799,video
45,an,13.799,13.95,video
46,absolutely,13.95,14.759,video
47,bonkers,14.759,15.059,video
48,fandom,15.059,15.9,video
49,for,15.9,16.16,video
50,a,16.17,16.199,video
51,few,16.199,16.41,video
52,months,16.41,16.8,video
53,and,16.8,16.949,video
54,then,16.949,17.13,video
55,promptly,17.13,17.52,video
56,die,17.52,17.88,video
57,out,17.88,18.08,video
58,rest,18.09,18.51,video
59,in,18.51,18.63,video
60,peace,18.63,18.869,video
61,cube,18.869,19.32,video
62,world,19.32,19.5,video
63,and,19.5,19.8,video
64,all,19.8,20.49,video
65,of,20.49,20.599,video
66,these,20.609,20.82,video
67,once,20.82,21.3,video
68,thought,21.3,21.57,video
69,of,21.57,21.75,video
70,as,21.75,21.93,video
71,a,21.93,21.96,video
72,fad,21.96,22.32,video
73,I,22.32,22.35,video
74,think,22.35,22.82,video
75,it's,22.83,22.949,video
76,pretty,22.949,23.189,video
77,clear,23.189,23.55,video
78,that,23.55,23.58,video
79,23,23.58,24.24,video
80,years,24.24,24.269,video
81,later,24.269,24.769,video
82,Pokemon,24.779,25.47,video
83,is,25.47,25.68,video
84,here,25.68,25.949,video
85,to,25.949,26.07,video
86,stay,26.07,26.4,video
87,it's,26.4,26.82,video
88,been,26.82,27.06,video
89,a,27.06,27.08,video
90,minute,27.09,27.33,video
91,since,27.33,27.48,video
92,I've,27.48,27.81,video
93,dived,27.81,28.05,video
94,deep,28.05,28.38,video
95,into,28.38,28.71,video
96,one,28.71,28.88,video
97,but,28.89,29.189,video
98,with,29.189,29.34,video
99,the,29.34,29.46,video
100,latest,29.46,29.789,video
101,monster,29.789,30.33,video
102,catching,30.33,30.679,video
103,collection,30.689,31.26,video
104,sword,31.26,31.679,video
105,and,31.679,31.859,video
106,shield,31.859,32.16,video
107,on,32.16,32.43,video
108,the,32.43,32.54,video
109,horizon,32.55,33.12,video
110,I'm,33.12,33.39,video
111,getting,33.39,33.78,video
112,pretty,33.78,34.02,video
113,excited,34.02,34.649,video
114,but,34.649,34.819,video
115,that's,34.829,35.01,video
116,not,35.01,35.219,video
117,what,35.219,35.37,video
118,we're,35.37,35.55,video
119,talking,35.55,35.67,video
120,about,35.67,35.93,video
121,today,35.94,36.239,video
122,welcome,36.239,36.87,video
123,to,36.87,37.29,video
124,part,37.29,37.559,video
125,2,37.559,37.829,video
126,of,37.829,37.86,video
127,the,37.86,38.07,video
128,Pokemon,38.07,38.72,video
129,clones,38.73,39.059,video
130,the,39.059,39.57,video
131,sequel,39.57,40.26,video
132,to,40.26,40.739,video
133,my,40.739,40.95,video
134,2015,40.95,41.82,video
135,video,41.82,42.3,video
136,geez,42.3,43.22,video
137,I,43.23,43.71,video
138,hear,43.71,44.01,video
139,a,44.01,44.04,video
140,lot,44.04,44.19,video
141,of,44.19,44.28,video
142,y'all,44.28,44.399,video
143,are,44.399,44.52,video
144,mad,44.52,44.7,video
145,about,44.7,44.73,video
146,the,44.73,45.11,video
147,lack,45.12,45.329,video
148,of,45.329,45.36,video
149,a,45.36,45.66,video
150,national,45.66,46.26,video
151,pokedex,46.26,46.829,video
152,in,46.829,47.01,video
153,the,47.01,47.1,video
154,new,47.1,47.209,video
155,games,47.219,47.489,video
156,in,47.489,47.789,video
157,that,47.789,47.969,video
158,case,47.969,48.21,video
159,let's,48.21,48.48,video
160,talk,48.48,48.629,video
161,about,48.629,48.78,video
162,some,48.78,49.069,video
163,pokemon,49.079,49.559,video
164,clones,49.559,50.01,video
165,alternatives,50.01,50.91,video
166,and,50.91,51.21,video
167,in,51.21,51.329,video
168,some,51.329,51.529,video
169,cases,51.539,51.809,video
170,straight-up,51.809,52.379,video
171,ripoffs,52.379,53.18,video
172,but,53.19,53.489,video
173,what,53.489,53.73,video
174,is,53.73,54.09,video
175,a,54.09,54.27,video
176,pokemon,54.27,54.84,video
177,clone,54.84,55.289,video
178,now,55.289,55.829,video
179,I,55.829,55.86,video
180,could,55.86,56.119,video
181,just,56.129,56.34,video
182,call,56.34,56.55,video
183,this,56.55,56.579,video
184,whole,56.579,56.73,video
185,video,56.73,57.03,video
186,shouldn't,57.03,57.65,video
187,Megami,57.66,57.96,video
188,Tensei,57.96,58.32,video
189,clones,58.32,58.649,video
190,if,58.649,58.98,video
191,we're,58.98,59.16,video
192,being,59.16,59.25,video
193,real,59.25,59.569,video
194,but,59.579,60.03,video
195,I'm,60.03,60.12,video
196,trying,60.12,60.329,video
197,to,60.329,60.359,video
198,talk,60.359,60.539,video
199,about,60.539,60.84,video
200,games,60.84,61.14,video
201,that,61.14,61.279,video
202,don't,61.289,61.59,video
203,necessarily,61.59,61.8,video
204,deal,61.8,62.52,video
205,with,62.52,62.82,video
206,the,62.82,63.03,video
207,complete,63.03,63.619,video
208,destruction,63.629,64.049,video
209,of,64.049,64.409,video
210,humanity,64.409,65.03,video
211,just,65.04,65.43,video
212,like,65.43,65.61,video
213,cube,65.61,66.03,video
214,monsters,66.03,66.57,video
215,yeah,66.57,66.99,video
216,don't,66.99,67.95,video
217,be,67.95,68.09,video
218,sad,68.1,68.34,video
219,my,68.34,68.67,video
