,word,start,end,category
0,I've,6.23,7.23,video
1,been,7.23,7.41,video
2,putting,7.41,7.62,video
3,off,7.62,7.77,video
4,making,7.77,8.13,video
5,this,8.13,8.25,video
6,video,8.25,8.6,video
7,because,8.61,8.94,video
8,it's,8.94,9.51,video
9,a,9.51,9.599,video
10,really,9.599,9.929,video
11,interesting,9.929,10.07,video
12,phenomena,10.08,10.889,video
13,but,10.889,11.07,video
14,I,11.07,11.13,video
15,was,11.13,11.28,video
16,never,11.28,11.429,video
17,sure,11.429,11.7,video
18,of,11.7,11.73,video
19,the,11.73,11.93,video
20,explanation,11.94,12.509,video
21,I,12.509,12.69,video
22,think,12.69,12.99,video
23,I've,12.99,13.469,video
24,worked,13.469,13.679,video
25,it,13.679,13.799,video
26,out,13.799,13.91,video
27,now,13.92,14.25,video
28,I'm,14.25,14.519,video
29,not,14.519,14.7,video
30,totally,14.7,14.91,video
31,sure,14.91,15.059,video
32,but,15.059,15.42,video
33,I,15.42,15.57,video
34,thought,15.57,15.74,video
35,I'll,15.75,15.99,video
36,make,15.99,16.049,video
37,the,16.049,16.32,video
38,video,16.32,16.41,video
39,anyway,16.41,16.89,video
40,and,16.89,17.16,video
41,then,17.16,17.25,video
42,you,17.25,17.54,video
43,can,17.55,17.94,video
44,decide,17.94,18.33,video
45,in,18.33,18.66,video
46,the,18.66,18.75,video
47,comments,18.75,19.199,video
48,what,19.199,19.35,video
49,you,19.35,19.46,video
50,think,19.47,19.71,video
51,about,19.71,19.89,video
52,my,19.89,20.189,video
53,explanation,20.189,20.82,video
54,so,20.82,21.75,video
55,I've,21.75,21.93,video
56,got,21.93,22.31,video
57,this,22.32,22.5,video
58,garden,22.5,23.31,video
59,hose,23.31,23.519,video
60,and,23.519,23.82,video
61,the,23.82,24.66,video
62,head,24.66,24.96,video
63,is,24.96,25.23,video
64,set,25.23,25.439,video
65,to,25.439,25.58,video
66,power,25.59,25.92,video
67,jet,25.92,26.279,video
68,mode,26.279,27.029,video
69,all,27.029,27.33,video
70,the,27.33,27.449,video
71,water's,27.449,27.779,video
72,coming,27.779,28.099,video
73,out,28.109,28.199,video
74,just,28.199,28.41,video
75,a,28.41,28.56,video
76,small,28.56,28.89,video
77,hole,28.89,29.16,video
78,in,29.16,29.189,video
79,the,29.189,29.46,video
80,front,29.46,29.73,video
81,there,29.73,29.96,video
82,and,29.97,30.15,video
83,just,30.15,30.539,video
84,to,30.539,30.599,video
85,demonstrate,30.599,30.779,video
86,how,30.779,31.05,video
87,powerful,31.05,31.769,video
88,the,31.769,32.089,video
89,jet,32.099,32.369,video
90,is,32.369,32.64,video
91,I've,32.64,32.91,video
92,got,32.91,33.21,video
93,this,33.21,33.44,video
94,plastic,33.44,34.44,video
95,tray,34.44,35.13,video
96,it's,35.13,35.63,video
97,made,35.64,35.91,video
98,from,35.91,36.09,video
99,the,36.09,36.149,video
100,bottom,36.149,36.39,video
101,of,36.39,36.57,video
102,a,36.57,36.66,video
103,hummus,36.66,37.05,video
104,carton,37.05,37.7,video
105,and,37.71,38.129,video
106,I,38.129,38.219,video
107,can,38.219,38.37,video
108,launch,38.37,38.61,video
109,that,38.61,38.91,video
110,into,38.91,39.18,video
111,the,39.18,39.3,video
112,air,39.3,43.93,video
113,what's,43.94,44.24,video
114,really,44.24,44.75,video
115,interesting,44.75,45.08,video
116,is,45.08,45.56,video
117,if,45.56,45.92,video
118,I,45.92,46.28,video
119,point,46.28,46.57,video
120,the,46.58,46.76,video
121,whole,46.76,46.94,video
122,thing,46.94,47.32,video
123,downwards,47.32,48.88,video
124,like,48.88,49.88,video
125,this,49.88,50.67,video
126,you'd,50.68,51.68,video
127,think,51.68,51.98,video
128,with,51.98,52.79,video
129,the,52.79,53.36,video
130,extra,53.36,53.57,video
131,help,53.57,53.69,video
132,of,53.69,53.8,video
133,gravity,53.81,53.99,video
134,would,53.99,54.44,video
135,travel,54.44,54.74,video
136,even,54.74,54.83,video
137,faster,54.83,55.4,video
138,away,55.4,55.63,video
139,from,55.64,55.91,video
140,the,55.91,56.0,video
141,jet,56.0,56.27,video
142,what's,56.27,56.57,video
143,this,56.57,60.489,video
144,it,60.489,61.489,video
145,sticks,61.489,61.82,video
146,to,61.82,62.03,video
147,it,62.03,62.22,video
148,you,62.23,63.23,video
149,can,63.23,63.44,video
150,move,63.44,63.65,video
151,it,63.65,63.77,video
152,around,63.77,71.53,video
153,that's,74.86,75.86,video
154,what,75.86,75.95,video
155,I,75.95,75.979,video
156,want,75.979,76.13,video
157,to,76.13,76.19,video
158,try,76.19,76.31,video
159,and,76.31,76.4,video
160,explain,76.4,79.42,video
161,to,79.42,80.55,video
162,try,80.56,81.56,video
163,and,81.56,81.65,video
164,explain,81.65,81.92,video
165,it,81.92,81.979,video
166,I,81.979,82.159,video
167,want,82.159,82.31,video
168,to,82.31,82.369,video
169,show,82.369,82.46,video
170,you,82.46,82.63,video
171,what,82.64,82.82,video
172,I,82.82,82.85,video
173,think,82.85,82.94,video
174,is,82.94,83.57,video
175,the,83.57,83.81,video
176,same,83.81,84.2,video
177,effect,84.2,84.94,video
178,but,84.94,85.94,video
179,with,85.94,86.14,video
180,air,86.15,86.479,video
181,instead,86.479,86.93,video
182,of,86.93,86.99,video
183,water,86.99,87.11,video
184,and,87.11,87.77,video
185,for,87.77,87.95,video
186,this,87.95,88.07,video
187,you,88.07,88.24,video
188,need,88.25,88.369,video
189,a,88.369,88.58,video
190,hairdryer,88.58,89.119,video
191,and,89.119,89.42,video
192,some,89.42,89.869,video
193,polystyrene,89.869,90.73,video
194,and,90.74,91.52,video
195,a,91.52,91.61,video
196,second,91.61,91.94,video
197,sheet,91.94,92.06,video
198,of,92.06,92.119,video
199,post,92.119,92.33,video
200,I,92.33,92.479,video
201,mean,92.479,92.63,video
202,like,92.63,92.77,video
203,this,92.78,92.99,video
204,if,92.99,93.2,video
205,you're,93.2,93.65,video
206,going,93.65,93.74,video
207,to,93.74,93.83,video
208,do,93.83,93.979,video
209,this,93.979,94.16,video
210,make,94.16,94.39,video
211,sure,94.4,94.43,video
212,you've,94.43,94.67,video
213,got,94.67,94.7,video
214,a,94.7,94.82,video
215,hairdryer,94.82,95.18,video
216,where,95.18,95.39,video
217,you,95.39,95.469,video
218,can,95.479,95.63,video
219,turn,95.63,95.84,video
220,the,95.84,95.96,video
221,heating,95.96,96.14,video
222,element,96.14,96.56,video
223,down,96.56,96.74,video
224,to,96.74,96.969,video
225,zero,96.979,97.28,video
226,so,97.28,98.0,video
227,you,98.0,98.03,video
228,blow,98.03,98.72,video
229,the,98.72,98.869,video
230,air,98.869,98.99,video
231,out,98.99,99.28,video
232,I,99.28,100.28,video
233,can,100.28,101.09,video
234,feel,101.09,101.62,video
235,the,101.63,102.53,video
236,jet,102.53,102.89,video
237,of,102.89,102.92,video
238,air,102.92,103.25,video
239,pushing,103.25,103.94,video
240,my,103.94,104.33,video
241,hands,104.33,104.9,video
242,down,104.9,105.29,video
243,but,105.29,106.09,video
244,if,106.1,106.19,video
245,I,106.19,106.28,video
246,lift,106.28,106.55,video
247,it,106.55,106.729,video
248,up,106.729,106.97,video
249,to,106.97,107.149,video
250,a,107.149,107.21,video
251,certain,107.21,107.45,video
252,point,107.45,108.039,video
253,it,108.039,109.029,video
254,gets,109.039,109.22,video
255,sucked,109.22,109.58,video
256,up,109.58,111.31,video
257,so,118.71,119.71,video
258,there,119.71,119.829,video
259,you,119.829,119.86,video
260,go,119.86,119.95,video
261,the,119.95,120.04,video
262,poorest,120.04,120.31,video
263,timing,120.31,120.61,video
