,word,start,end,category
0,imagine,0.03,0.93,video
1,NASA,0.93,1.23,video
2,announced,1.23,1.92,video
3,today,1.92,2.04,video
4,that,2.04,2.19,video
5,they,2.19,2.629,video
6,found,2.639,2.909,video
7,aliens,2.909,4.069,video
8,bacteria,4.069,5.069,video
9,on,5.069,5.279,video
10,Mars,5.279,5.609,video
11,weird,5.609,6.53,video
12,alien,6.54,7.08,video
13,fish,7.08,7.379,video
14,in,7.379,7.62,video
15,the,7.62,7.71,video
16,oceans,7.71,8.13,video
17,of,8.13,8.309,video
18,Europa,8.309,8.49,video
19,and,8.49,9.379,video
20,also,9.389,9.84,video
21,ancient,9.84,10.349,video
22,alien,10.349,11.099,video
23,ruins,11.099,11.58,video
24,on,11.58,11.82,video
25,Titan,11.82,12.259,video
26,wouldn't,12.269,13.17,video
27,that,13.17,13.259,video
28,be,13.259,13.38,video
29,great,13.38,13.67,video
30,well,13.67,14.67,video
31,no,14.67,15.12,video
32,it,15.12,15.719,video
33,would,15.719,15.86,video
34,be,15.87,15.9,video
35,horrible,15.9,16.35,video
36,news,16.35,16.91,video
37,devastating,16.91,17.91,video
38,even,17.91,18.08,video
39,it,18.08,19.07,video
40,could,19.08,19.38,video
41,mean,19.38,19.56,video
42,that,19.56,19.619,video
43,the,19.619,19.83,video
44,end,19.83,20.1,video
45,of,20.1,20.4,video
46,humanity,20.4,20.76,video
47,is,20.76,21.14,video
48,almost,21.15,21.75,video
49,certain,21.75,22.23,video
50,and,22.23,22.32,video
51,that,22.32,22.949,video
52,it,22.949,23.039,video
53,might,23.039,23.25,video
54,be,23.25,23.42,video
55,coming,23.43,23.82,video
56,soon,23.82,24.439,video
57,why,24.439,25.519,video
58,white,25.519,26.519,video
59,would,26.519,26.76,video
60,the,26.76,26.849,video
61,most,26.849,27.019,video
62,exciting,27.029,27.66,video
63,discovery,27.66,28.17,video
64,of,28.17,28.26,video
65,our,28.26,28.38,video
66,lifetime,28.38,28.64,video
67,be,28.64,29.63,video
68,bad,29.64,39.649,intro
69,let,39.649,40.649,video
70,us,40.649,40.8,video
71,imagine,40.8,41.1,video
72,the,41.1,41.399,video
73,development,41.399,41.879,video
74,of,41.879,42.02,video
75,life,42.03,42.21,video
76,from,42.21,42.629,video
77,its,42.629,42.809,video
78,inception,42.809,42.989,video
79,to,42.989,43.8,video
80,us,43.8,43.95,video
81,today,43.95,44.25,video
82,as,44.25,44.82,video
83,a,44.82,44.869,video
84,flight,44.879,45.239,video
85,of,45.239,45.39,video
86,stairs,45.39,45.94,video
87,the,45.95,46.95,video
88,first,46.95,47.219,video
89,step,47.219,47.46,video
90,is,47.46,47.7,video
91,dead,47.7,48.03,video
92,chemistry,48.03,48.539,video
93,that,48.539,48.709,video
94,needs,48.719,48.96,video
95,to,48.96,49.17,video
96,assemble,49.17,49.5,video
97,itself,49.5,49.829,video
98,into,49.829,50.18,video
99,self-replicating,50.19,50.91,video
100,patterns,50.91,51.39,video
101,stable,51.39,52.17,video
102,and,52.17,52.369,video
103,resilient,52.379,53.07,video
104,but,53.07,53.489,video
105,also,53.489,53.82,video
106,able,53.82,54.059,video
107,to,54.059,54.21,video
108,change,54.21,54.539,video
109,and,54.539,54.889,video
110,evolve,54.899,55.52,video
111,the,55.52,56.52,video
112,second,56.52,56.94,video
113,step,56.94,57.12,video
114,is,57.12,57.329,video
115,for,57.329,57.539,video
116,our,57.539,57.66,video
117,early,57.66,58.01,video
118,life,58.02,58.23,video
119,to,58.23,58.41,video
120,become,58.41,58.739,video
121,more,58.739,59.039,video
122,complex,59.039,59.52,video
123,able,59.52,60.329,video
124,to,60.329,60.439,video
125,build,60.449,60.66,video
126,more,60.66,60.93,video
127,complicated,60.93,61.68,video
128,structures,61.68,62.129,video
129,and,62.129,62.389,video
130,use,62.399,62.91,video
131,the,62.91,63.12,video
132,available,63.12,63.329,video
133,energy,63.329,63.66,video
134,much,63.66,64.17,video
135,more,64.17,64.189,video
136,efficiently,64.199,65.01,video
137,on,65.01,65.25,video
138,the,65.25,66.09,video
139,next,66.09,66.42,video
140,step,66.42,66.6,video
141,these,66.6,67.11,video
142,cells,67.11,67.46,video
143,combine,67.47,68.01,video
144,to,68.01,68.25,video
145,become,68.25,68.34,video
146,multicellular,68.34,69.0,video
147,beings,69.0,69.859,video
148,enabling,69.869,70.65,video
149,unbelievable,70.65,71.49,video
150,variety,71.49,71.97,video
151,and,71.97,72.2,video
152,further,72.21,72.78,video
153,complexity,72.78,73.67,video
154,the,73.67,74.67,video
155,step,74.67,74.909,video
156,above,74.909,75.03,video
157,sees,75.03,75.74,video
158,the,75.75,75.96,video
159,species,75.96,76.409,video
160,evolve,76.409,76.77,video
161,big,76.77,77.07,video
162,brains,77.07,77.4,video
163,enabling,77.4,78.289,video
164,the,78.299,78.42,video
165,use,78.42,78.57,video
166,of,78.57,78.78,video
167,tools,78.78,79.08,video
168,culture,79.08,79.77,video
169,and,79.77,79.95,video
170,shared,79.95,80.45,video
171,knowledge,80.46,80.7,video
172,which,80.7,81.18,video
173,creates,81.18,81.57,video
174,even,81.57,82.11,video
175,higher,82.11,82.37,video
176,complexity,82.38,83.27,video
177,the,83.27,84.27,video
178,species,84.27,84.72,video
179,can,84.72,84.96,video
180,now,84.96,85.14,video
181,become,85.14,85.34,video
182,the,85.35,85.74,video
183,dominant,85.74,86.1,video
184,life-form,86.1,86.34,video
185,on,86.34,86.759,video
186,its,86.759,86.939,video
187,planet,86.939,87.27,video
188,and,87.27,87.499,video
189,change,87.509,88.2,video
190,it,88.2,88.38,video
191,according,88.38,88.829,video
192,to,88.829,88.86,video
193,its,88.86,88.979,video
194,needs,88.979,89.57,video
195,first,89.57,90.56,video
196,of,90.57,90.81,video
197,shai,90.81,91.079,video
198,attempts,91.079,91.56,video
199,to,91.56,91.77,video
200,leave,91.77,91.95,video
201,its,91.95,92.159,video
202,planets,92.159,92.51,video
203,are,92.52,92.61,video
204,happening,92.61,93.0,video
205,this,93.0,93.84,video
206,is,93.84,94.11,video
207,where,94.11,94.29,video
208,we,94.29,94.439,video
209,are,94.439,94.47,video
210,now,94.47,94.929,video
211,it's,94.939,95.939,video
212,in,95.939,96.15,video
213,the,96.15,96.27,video
214,nature,96.27,96.63,video
215,of,96.63,96.689,video
216,life,96.689,96.96,video
217,as,96.96,97.2,video
218,we,97.2,97.35,video
219,know,97.35,97.56,video
220,it,97.56,97.58,video
221,to,97.59,97.95,video
222,reach,97.95,98.189,video
223,out,98.189,98.43,video
224,to,98.43,98.67,video
225,cover,98.67,99.18,video
226,every,99.18,99.75,video
227,Lygia,99.75,99.99,video
228,can,99.99,100.399,video
229,and,100.409,100.71,video
230,since,100.71,101.64,video
231,planets,101.64,102.06,video
232,have,102.06,102.21,video
233,a,102.21,102.24,video
234,limited,102.24,102.74,video
235,carrying,102.75,103.14,video
236,capacity,103.14,103.649,video
237,and,103.649,103.68,video
238,life,103.68,104.34,video
239,span,104.34,104.61,video
240,if,104.61,104.909,video
241,a,104.909,105.17,video
242,species,105.18,105.42,video
243,wants,105.42,105.96,video
244,to,105.96,106.079,video
245,survive,106.079,106.38,video
246,it,106.38,106.799,video
247,will,106.799,107.22,video
248,look,107.22,107.42,video
249,for,107.43,107.64,video
250,more,107.64,107.85,video
251,places,107.85,108.39,video
252,to,108.39,108.6,video
253,spread,108.6,108.869,video
254,to,108.869,109.28,video
255,so,109.28,110.28,video
256,the,110.28,110.42,video
257,steps,110.43,110.67,video
258,above,110.67,110.85,video
259,the,110.85,111.149,video
260,current,111.149,111.509,video
261,ones,111.509,111.72,video
