,word,start,end,category
0,hi,0.03,0.93,video
1,today,0.93,1.86,video
2,I,1.86,2.07,video
3,want,2.07,2.399,video
4,to,2.399,2.58,video
5,make,2.58,2.82,video
6,an,2.82,3.06,video
7,EMP,3.06,3.87,video
8,or,3.87,4.39,video
9,electromagnetic,4.4,5.4,video
10,pulse,5.4,6.21,video
11,device,6.21,6.39,video
12,and,6.39,7.08,video
13,that's,7.08,7.76,video
14,why,7.77,8.04,video
15,I,8.04,8.069,video
16,bought,8.069,8.519,video
17,one,8.519,8.73,video
18,of,8.73,8.849,video
19,these,8.849,9.11,video
20,super,9.11,10.11,video
21,high,10.11,10.339,video
22,voltage,10.349,10.889,video
23,power,10.889,11.37,video
24,generator,11.37,12.09,video
25,modules,12.09,13.13,video
26,let's,13.13,14.12,video
27,give,14.13,14.7,video
28,it,14.7,14.73,video
29,a,14.73,14.849,video
30,try,14.849,15.0,video
31,and,15.0,15.12,video
32,see,15.12,15.389,video
33,how,15.389,15.42,video
34,it,15.42,15.63,video
35,works,15.63,22.09,video
36,swear,23.64,24.06,video
37,to,24.06,24.21,video
38,God,24.21,24.42,video
39,if,24.42,24.57,video
40,one,24.57,24.869,video
41,of,24.869,24.99,video
42,these,24.99,25.14,video
43,arcs,25.14,25.79,video
44,touches,25.8,26.369,video
45,me,26.369,26.55,video
46,I'll,26.55,26.76,video
47,delete,26.76,27.63,video
48,this,27.63,27.869,video
49,channel,27.869,29.14,video
50,let's,29.15,30.15,video
51,start,30.15,30.42,video
52,with,30.42,30.57,video
53,simple,30.57,30.99,video
54,stuff,30.99,31.26,video
55,here,31.26,31.56,video
56,I,31.56,31.58,video
57,have,31.59,31.83,video
58,a,31.83,31.859,video
59,5,31.859,32.189,video
60,watt,32.189,32.43,video
61,EMP,32.43,33.059,video
62,device,33.059,33.21,video
63,if,33.21,33.69,video
64,you,33.69,33.75,video
65,have,33.75,33.95,video
66,photosensitive,33.96,34.829,video
67,epilepsy,34.829,35.34,video
68,or,35.34,35.64,video
69,PS,35.64,35.94,video
70,II,35.94,36.18,video
71,please,36.18,36.44,video
72,look,36.45,36.719,video
73,away,36.719,36.96,video
74,now,36.96,36.989,video
75,until,36.989,37.559,video
76,I,37.559,37.649,video
77,say,37.649,37.89,video
78,done,37.89,40.61,video
79,okay,40.61,41.61,video
80,done,41.61,43.84,video
81,any,43.85,44.85,video
82,light,44.85,45.239,video
83,is,45.239,45.57,video
84,electromagnetic,45.57,46.02,video
85,waves,46.02,46.8,video
86,and,46.8,47.1,video
87,I,47.1,47.119,video
88,was,47.129,47.28,video
89,pulsing,47.28,47.789,video
90,it,47.789,47.94,video
91,which,47.94,48.239,video
92,would,48.239,48.42,video
93,cause,48.42,48.75,video
94,visual,48.75,49.43,video
95,interference,49.44,50.039,video
96,with,50.039,50.489,video
97,the,50.489,50.64,video
98,brain,50.64,50.91,video
99,of,50.91,50.94,video
100,sensitive,50.94,51.74,video
101,people,51.75,51.93,video
102,causing,51.93,52.44,video
103,seizure,52.44,52.86,video
104,I,52.86,53.19,video
105,hope,53.19,53.82,video
106,you,53.82,53.969,video
107,looked,53.969,54.139,video
108,away,54.149,54.239,video
109,if,54.239,54.48,video
110,you,54.48,54.57,video
111,are,54.57,54.6,video
112,sensitive,54.6,55.17,video
113,but,55.17,55.649,video
114,the,55.649,55.77,video
115,EMP,55.77,56.09,video
116,you,56.1,56.399,video
117,guys,56.399,56.61,video
118,are,56.61,56.82,video
119,thinking,56.82,57.03,video
120,about,57.03,57.27,video
121,is,57.27,57.6,video
122,at,57.6,57.78,video
123,much,57.78,58.099,video
124,much,58.109,58.559,video
125,lower,58.559,58.98,video
126,frequency,58.98,59.28,video
127,than,59.28,59.73,video
128,the,59.73,60.03,video
129,visible,60.03,60.38,video
130,light,60.39,60.6,video
131,and,60.6,60.96,video
132,it,60.96,61.14,video
133,interferes,61.14,61.469,video
134,with,61.469,61.8,video
135,electronics,61.8,62.689,video
136,and,62.699,62.879,video
137,sometimes,62.879,63.42,video
138,damages,63.42,63.93,video
139,them,63.93,64.179,video
140,electromagnetic,64.189,65.189,video
141,waves,65.189,65.46,video
142,are,65.46,65.7,video
