,word,start,end,category
0,this,0.0,0.599,sponsor
1,episode,0.599,0.989,sponsor
2,stupid,0.989,1.41,sponsor
3,musician,1.41,1.86,sponsor
4,text,1.86,2.19,sponsor
5,is,2.19,2.36,sponsor
6,brought,2.37,2.79,sponsor
7,to,2.79,2.97,sponsor
8,you,2.97,3.03,sponsor
9,by,3.03,3.06,sponsor
10,district,3.06,3.78,sponsor
11,kid,3.78,3.99,sponsor
12,get,3.99,4.529,sponsor
13,your,4.529,4.7,sponsor
14,music,4.71,4.83,sponsor
15,online,4.83,5.31,sponsor
16,and,5.31,5.85,sponsor
17,out,5.85,6.06,video
18,to,6.06,6.21,video
19,the,6.21,6.24,video
20,world,6.24,13.309,video
21,hey,13.309,14.299,video
22,everybody,14.309,14.61,video
23,how's,14.61,15.059,video
24,it,15.059,15.089,video
25,going,15.089,15.69,video
26,welcome,15.69,16.23,video
27,to,16.23,16.58,video
28,stupid,16.59,17.1,video
29,musician,17.1,17.64,video
30,texts,17.64,17.94,video
31,the,17.94,18.3,video
32,show,18.3,18.57,video
33,where,18.57,19.05,video
34,we,19.05,19.07,video
35,peel,19.08,19.56,video
36,back,19.56,19.59,video
37,the,19.59,20.13,video
38,auto-tune,20.13,20.699,video
39,and,20.699,20.88,video
40,computer,20.88,21.74,video
41,enhancement,21.75,22.32,video
42,to,22.32,22.59,video
43,look,22.59,22.769,video
44,at,22.769,22.92,video
45,what's,22.92,23.13,video
46,really,23.13,23.72,video
47,going,23.73,24.029,video
48,on,24.029,24.21,video
49,in,24.21,24.39,video
50,the,24.39,24.48,video
51,music,24.48,24.6,video
52,business,24.6,25.05,video
53,hey,25.05,25.98,video
54,man,25.98,26.21,video
55,do,26.22,26.55,video
56,you,26.55,26.64,video
57,know,26.64,26.789,video
58,if,26.789,27.0,video
59,or,27.0,27.269,video
60,when,27.269,27.449,video
61,you,27.449,27.66,video
62,can,27.66,27.779,video
63,come,27.779,27.9,video
64,over,27.9,27.95,video
65,to,27.96,28.14,video
66,record,28.14,32.149,video
67,doing,32.149,33.149,video
68,any,33.149,33.27,video
69,retiring,33.27,33.75,video
70,do,33.75,34.079,video
71,you,34.079,34.17,video
72,need,34.17,34.31,video
73,to,34.32,34.44,video
74,grow,34.44,34.68,video
75,up,34.68,35.27,video
76,all,35.27,36.27,video
77,right,36.27,36.45,video
78,I,36.45,36.6,video
79,want,36.6,36.84,video
80,to,36.84,36.899,video
81,make,36.899,36.96,video
82,this,36.96,37.22,video
83,perfectly,37.23,37.8,video
84,clear,37.8,37.89,video
85,if,37.89,38.46,video
86,your,38.46,38.73,video
87,significant,38.73,39.44,video
88,other,39.45,39.629,video
89,keeps,39.629,40.23,video
90,you,40.23,40.41,video
91,from,40.41,40.649,video
92,following,40.649,41.19,video
93,your,41.19,41.51,video
94,dreams,41.52,41.85,video
95,takes,41.85,42.48,video
96,your,42.48,42.66,video
97,phone,42.66,42.899,video
98,away,42.899,43.079,video
99,and,43.079,43.379,video
100,then,43.379,43.52,video
101,demands,43.53,43.95,video
102,that,43.95,44.19,video
103,you,44.19,44.309,video
104,grow,44.309,44.7,video
105,up,44.7,44.73,video
106,and,44.73,45.09,video
107,get,45.09,45.239,video
108,a,45.239,45.3,video
