,word,start,end,category
0,what,13.04,14.04,video
1,are,14.04,14.13,video
2,you,14.13,14.19,video
3,doing,14.19,14.46,video
4,man,14.46,14.58,video
5,boots,14.58,14.969,video
6,not,14.969,15.12,video
7,gonna,15.12,15.289,video
8,like,15.299,15.42,video
9,it,15.42,15.45,video
10,if,15.45,15.63,video
11,you,15.63,15.69,video
12,make,15.69,15.809,video
13,a,15.809,15.839,video
14,big,15.839,16.049,video
15,mess,16.049,16.289,video
16,outlaw,16.289,16.82,video
17,moon,16.83,17.07,video
18,games,17.07,17.369,video
19,and,17.369,17.609,video
20,toys,17.609,17.76,video
21,nestled,17.76,18.39,video
22,here,18.39,18.51,video
23,in,18.51,18.6,video
24,the,18.6,18.68,video
25,heart,18.69,18.869,video
26,of,18.869,18.93,video
27,Austin,18.93,19.26,video
28,Texas,19.26,19.439,video
29,it's,19.439,19.74,video
30,gonna,19.74,19.859,video
31,be,19.859,20.039,video
32,just,20.039,20.21,video
33,fine,20.22,20.4,video
34,with,20.4,20.609,video
35,my,20.609,20.76,video
36,shenanigans,20.76,21.14,video
37,ok,21.14,22.82,video
38,what,22.82,23.82,video
39,can,23.82,24.0,video
40,you,24.0,24.109,video
41,not,24.119,24.269,video
42,help,24.269,24.51,video
43,yourself,24.51,24.99,video
44,what's,24.99,25.199,video
45,going,25.199,25.41,video
46,on,25.41,25.529,video
47,I've,25.529,25.82,video
48,always,25.83,26.25,video
49,been,26.25,26.369,video
50,a,26.369,26.43,video
51,cat,26.43,26.64,video
52,person,26.64,27.09,video
53,you,27.09,27.18,video
54,know,27.18,27.33,video
55,that,27.33,27.529,video
56,Jim,27.539,27.81,video
57,cat,27.81,28.26,video
58,person,28.26,29.3,video
59,Pruitt,29.3,30.529,video
60,talked,30.529,31.529,video
61,about,31.529,31.769,video
62,this,31.769,32.179,video
63,they're,32.189,32.669,video
64,called,32.669,32.85,video
65,taboc,32.85,33.18,video
66,see,33.18,33.77,video
67,ok,33.77,34.77,video
68,too,34.77,35.7,video
69,boxy,35.7,36.17,video
70,on,36.17,37.16,video
71,web,37.17,37.53,video
72,DM,37.53,44.45,video
73,this,44.45,45.45,video
74,episode,45.45,45.96,video
75,is,45.96,46.11,video
76,brought,46.11,46.14,video
77,to,46.14,46.35,video
78,you,46.35,46.5,video
79,by,46.5,46.52,video
80,the,46.53,46.68,video
81,final,46.68,47.129,video
82,upstart,47.129,47.489,video
83,dice,47.489,47.76,video
84,kickstarter,47.76,48.51,video
85,by,48.51,48.68,video
86,legendary,48.69,49.289,video
87,pants,49.289,49.829,video
88,these,49.829,50.16,video
89,dice,50.16,50.43,video
90,are,50.43,50.61,video
91,awesome,50.61,50.99,video
92,for,51.0,51.03,video
93,any,51.03,51.48,video
94,game,51.48,51.87,video
95,but,51.87,52.26,video
96,they're,52.26,52.41,video
97,perfect,52.41,53.19,video
98,for,53.19,53.24,video
99,your,53.25,53.52,video
100,modern,53.52,54.03,video
101,cyberpunk,54.03,54.87,video
102,sci-fi,54.87,55.44,video
103,or,55.44,55.67,video
104,intriguing,55.68,56.219,video
105,campaigns,56.219,56.85,video
106,these,56.85,57.239,video
107,are,57.239,57.48,video
108,100%,57.48,58.069,video
109,unique,58.079,58.89,video
110,all,58.89,59.399,video
111,four,59.399,59.85,video
112,colors,59.85,60.12,video
113,have,60.12,60.449,video
114,exclusive,60.449,61.16,video
115,numbering,61.17,61.559,video
116,and,61.559,61.829,video
117,the,61.829,62.219,video
118,CSI,62.219,62.67,video
119,are,62.67,62.91,video
120,the,62.91,63.059,video
121,only,63.059,63.329,video
122,dice,63.329,63.709,video
123,with,63.719,64.29,video
124,reactive,64.29,64.83,video
125,numbers,64.83,65.22,video
126,that,65.22,65.4,video
127,glow,65.4,65.76,video
128,under,65.76,66.109,video
129,ultraviolet,66.119,66.6,video
130,light,66.6,66.63,video
131,nothing,66.63,67.409,video
132,else,67.409,67.77,video
133,like,67.77,67.95,video
134,them,67.95,68.179,video
135,in,68.189,68.4,video
136,the,68.4,68.76,video
137,world,68.76,69.119,video
138,so,69.119,69.659,video
139,check,69.659,69.99,video
140,them,69.99,70.14,video
141,out,70.14,70.26,video
142,these,70.26,70.88,video
143,dyes,70.89,71.159,video
144,can,71.159,71.4,video
145,be,71.4,71.46,video
146,in,71.46,71.729,video
147,your,71.729,71.939,video
148,bag,71.939,72.15,video
149,by,72.15,72.659,video
150,August,72.659,73.2,video
151,20,73.2,74.06,video
152,link,74.07,74.64,video
153,here,74.64,74.88,video
154,and,74.88,75.15,video
155,in,75.15,75.57,video
156,the,75.57,75.69,video
157,description,75.69,76.38,video
158,cats,76.38,76.79,video
159,cat,76.8,77.28,video
160,and,77.28,77.58,video
161,the,77.58,78.06,video
162,people,78.06,78.39,video
163,thereof,78.39,78.81,video
164,got,78.81,79.29,video
165,people,79.29,79.65,video
166,to,79.65,80.0,video
167,back,80.01,80.19,video
168,C,80.19,80.37,video
169,Jim,80.37,80.52,video
170,Davis,80.52,80.88,video
