,word,start,end,category
0,we,0.32,0.399,video
1,need,0.399,0.799,video
2,something,0.799,1.12,video
3,to,1.12,1.28,video
4,do,1.28,1.439,video
5,a,1.439,1.52,video
6,video,1.52,1.839,video
7,about,1.839,2.07,video
8,oh,3.919,4.24,video
9,that,4.24,4.4,video
10,won't,4.4,4.64,video
11,be,4.64,4.799,video
12,it,4.799,8.31,video
13,no,8.32,9.679,video
14,we,9.679,10.0,video
15,still,10.0,10.24,video
16,have,10.24,10.559,video
17,this,10.559,10.88,video
18,thing,10.88,12.15,video
19,this,12.16,13.28,video
20,is,13.28,13.519,video
21,the,13.519,13.92,video
22,64,13.92,15.04,video
23,core,15.04,15.509,video
24,computer,15.519,17.68,video
25,and,17.68,18.16,video
26,after,18.16,18.63,video
27,all,18.64,18.88,video
28,the,18.88,19.039,video
29,testing,19.039,19.439,video
30,we,19.439,19.6,video
31,did,19.6,19.84,video
32,on,19.84,20.0,video
33,it,20.0,20.72,video
34,we,20.72,20.96,video
35,never,20.96,21.349,video
36,actually,21.359,21.92,video
37,gamed,21.92,22.32,video
38,on,22.32,22.56,video
39,it,22.56,23.269,video
40,can,23.279,23.519,video
41,you,23.519,23.68,video
42,run,23.68,24.08,video
43,games,24.08,24.96,video
44,on,24.96,25.119,video
45,a,25.119,25.359,video
46,64,25.359,26.16,video
47,core,26.16,26.55,video
48,cpu,26.56,27.119,video
49,that,27.119,27.199,video
50,was,27.199,27.439,video
51,built,27.439,27.68,video
52,for,27.68,27.92,video
53,science,27.92,29.359,video
54,we're,29.359,29.509,video
55,gonna,29.519,29.76,video
56,find,29.76,30.07,video
57,out,30.08,30.64,video
58,for,30.64,30.88,video
59,science,30.88,33.41,video
60,thanks,41.36,41.68,sponsor
61,to,41.68,41.76,sponsor
62,world,41.76,42.079,sponsor
63,of,42.079,42.16,sponsor
64,warships,42.16,42.64,sponsor
65,for,42.64,42.79,sponsor
66,sponsoring,42.8,43.36,sponsor
67,this,43.36,43.6,sponsor
68,video,43.6,43.92,sponsor
69,world,43.92,44.239,sponsor
70,of,44.239,44.32,sponsor
71,warships,44.32,44.79,sponsor
72,is,44.8,44.879,sponsor
73,the,44.879,45.12,sponsor
74,free,45.12,45.52,sponsor
75,online,45.52,46.0,sponsor
76,strategy,46.0,46.48,sponsor
77,warship,46.48,46.879,sponsor
78,game,46.879,47.11,sponsor
79,from,47.12,47.36,sponsor
80,war,47.36,47.68,sponsor
81,gaming,47.68,48.15,sponsor
82,stay,48.16,48.399,sponsor
83,tuned,48.399,48.8,sponsor
84,for,48.8,48.96,sponsor
85,more,48.96,49.6,sponsor
86,and,49.6,49.92,sponsor
87,an,49.92,50.079,sponsor
88,exclusive,50.079,50.549,sponsor
89,offer,50.559,50.96,sponsor
90,later,50.96,51.28,sponsor
91,on,51.28,51.52,sponsor
92,in,51.52,51.6,sponsor
93,this,51.6,51.76,sponsor
94,video,51.76,52.869,sponsor
95,so,52.879,53.039,video
96,if,53.039,53.12,video
97,you,53.12,53.199,video
98,think,53.199,53.36,video
99,about,53.36,53.6,video
100,it,53.6,54.399,video
101,one,54.399,54.96,video
102,eternity,54.96,55.99,video
103,later,56.0,56.719,video
104,maybe,56.719,57.039,video
105,this,57.039,57.28,video
106,idea,57.28,57.76,video
107,isn't,57.76,58.079,video
108,that,58.079,58.559,video
109,crazy,58.559,59.43,video
110,you,59.44,59.52,video
111,know,59.52,59.76,video
112,gaming,59.76,60.16,video
113,on,60.16,60.32,video
114,a,60.32,60.399,video
115,64,60.399,61.199,video
116,core,61.199,61.52,video
117,cpu,61.52,62.399,video
118,because,62.399,63.27,video
119,believe,63.28,63.6,video
120,it,63.6,63.76,video
121,or,63.76,63.84,video
122,not,63.84,64.96,video
123,the,64.96,65.28,video
124,cpu,65.28,66.469,video
125,that's,66.479,66.96,video
126,in,66.96,67.2,video
127,here,67.2,68.08,video
128,is,68.08,68.32,video
129,actually,68.32,69.439,video
130,fundamentally,69.439,70.789,video
131,the,70.799,71.04,video
132,same,71.04,71.6,video
133,thing,71.6,72.4,video
134,as,72.4,72.72,video
135,that,72.72,73.119,video
136,intel,73.119,73.83,video
137,graphics,73.84,74.4,video
138,card,74.4,74.72,video
139,prototype,74.72,75.6,video
140,that,75.6,75.759,video
141,we,75.759,75.92,video
142,did,75.92,76.159,video
143,like,76.159,76.31,video
144,an,76.32,76.479,video
145,unboxing,76.479,77.2,video
146,and,77.2,77.36,video
147,history,77.36,77.759,video
148,lesson,77.759,78.159,video
149,of,78.159,78.63,video
150,a,78.64,78.88,video
151,little,78.88,79.28,video
152,while,79.28,79.6,video
153,ago,79.6,80.4,video
154,except,80.4,80.88,video
155,that,80.88,81.2,video
156,instead,81.2,81.51,video
157,of,81.52,81.68,video
158,being,81.68,82.23,video
159,on,82.24,82.4,video
160,a,82.4,82.479,video
161,pci,82.479,82.96,video
162,express,82.96,83.36,video
163,card,83.36,83.759,video
164,they've,83.759,83.92,video
165,got,83.92,84.159,video
166,like,84.159,84.32,video
167,a,84.32,84.39,video
168,whole,84.4,84.88,video
169,motherboard,84.88,85.759,video
170,and,85.759,86.31,video
171,like,86.32,86.64,video
172,cpu,86.64,87.2,video
173,socket,87.2,87.759,video
174,and,87.759,88.08,video
175,like,88.08,88.799,video
176,exterior,88.799,89.52,video
177,memory,89.52,89.91,video
178,slots,89.92,90.32,video
179,kind,90.32,90.479,video
180,of,90.479,90.72,video
181,thing,90.72,90.96,video
182,going,90.96,91.2,video
183,on,91.2,91.439,video
184,for,91.439,91.6,video
185,it,91.6,92.95,video
186,so,92.96,93.92,video
187,first,93.92,94.159,video
188,things,94.159,94.479,video
189,first,94.479,94.72,video
190,we've,94.72,94.96,video
191,got,94.96,95.119,video
192,to,95.119,95.2,video
193,get,95.2,95.429,video
194,this,95.439,95.759,video
195,puppy,95.759,96.87,video
196,somewhat,96.88,97.759,video
197,reassembled,97.759,98.64,video
198,there's,98.64,98.96,video
199,a,98.96,99.2,video
200,hard,99.2,99.51,video
201,drive,99.52,99.92,video
202,in,99.92,100.079,video
203,here,100.079,100.4,video
204,for,100.4,100.64,video
205,some,100.64,100.96,video
206,reason,100.96,102.389,video
207,uh,102.399,102.72,video
208,we've,102.72,102.96,video
209,also,102.96,103.2,video
210,got,103.2,103.36,video
211,to,103.36,103.52,video
212,put,103.52,104.0,video
213,some,104.0,104.159,video
214,more,104.159,104.479,video
215,ram,104.479,104.789,video
216,in,104.799,104.96,video
217,we,104.96,105.119,video
218,need,105.119,105.28,video
219,to,105.28,105.36,video
220,make,105.36,105.52,video
221,sure,105.52,105.759,video
222,we,105.759,105.92,video
223,are,105.92,106.0,video
224,running,106.0,106.23,video
225,it,106.24,106.399,video
226,at,106.399,106.56,video
227,its,106.56,106.87,video
228,optimal,106.88,108.0,video
229,six,108.0,108.72,video
230,channels,108.72,109.2,video
231,of,109.2,109.36,video
232,memory,109.36,110.149,video
233,we,110.159,110.32,video
234,need,110.32,110.479,video
235,to,110.479,110.64,video
236,chuck,110.64,110.88,video
237,a,110.88,110.96,video
238,boot,110.96,111.2,video
239,ssd,111.2,111.759,video
240,in,111.759,111.84,video
241,here,111.84,112.079,video
242,so,112.079,112.23,video
243,if,112.24,112.399,video
244,i,112.399,113.19,video
245,pull,113.2,113.439,video
246,out,113.439,113.68,video
247,all,113.68,113.84,video
248,of,113.84,113.92,video
249,these,113.92,114.24,video
250,ancient,114.24,114.64,video
251,technology,114.64,115.19,video
252,hard,115.2,115.439,video
253,drive,115.439,115.68,video
254,cages,115.68,116.0,video
255,you,116.0,116.079,video
256,can,116.079,116.24,video
257,kind,116.24,116.399,video
258,of,116.399,116.56,video
259,see,116.56,117.51,video
260,where,117.52,117.68,video
261,we,117.68,117.84,video
262,jammed,117.84,118.159,video
263,that,118.159,118.399,video
264,in,118.399,118.719,video
265,and,118.719,118.96,video
266,then,118.96,119.84,video
267,last,119.84,120.149,video
268,but,120.159,120.32,video
269,not,120.32,120.56,video
270,least,120.56,121.35,video
271,we,121.36,121.52,video
272,are,121.52,121.68,video
273,going,121.68,121.92,video
274,to,121.92,122.159,video
275,need,122.159,122.799,video
276,a,122.799,123.04,video
277,graphics,123.04,123.68,video
278,card,123.68,124.069,video
