,word,start,end,category
0,this,0.03,0.359,video
1,video,0.359,0.659,video
2,is,0.659,0.989,video
3,brought,0.989,1.17,video
4,to,1.17,1.38,video
5,you,1.38,1.53,video
6,by,1.53,1.56,video
7,movie,1.56,2.74,video
8,greetings,14.12,15.12,video
9,and,15.12,15.389,video
10,welcome,15.389,15.539,video
11,to,15.539,15.719,video
12,earthling,15.719,15.829,video
13,cinema,15.839,16.47,video
14,i,16.47,16.83,video
15,am,16.83,17.07,video
16,your,17.07,17.25,video
17,host,17.25,17.279,video
18,garyx,17.279,17.76,video
19,wormuloid,17.76,18.89,video
20,this,18.9,19.17,video
21,week's,19.17,19.38,video
22,artifact,19.38,19.859,video
23,is,19.859,20.039,video
24,children,20.039,20.609,video
25,of,20.609,20.73,video
26,men,20.73,20.929,video
27,directed,20.939,21.689,video
28,by,21.689,21.81,video
29,celebrated,21.81,22.47,video
30,auteur,22.47,22.88,video
31,Alfonso,22.88,23.87,video
32,Ribeiro,23.88,24.119,video
33,but,24.119,24.9,video
34,before,24.9,25.169,video
35,we,25.169,25.32,video
36,start,25.32,25.38,video
37,movie,25.38,26.189,video
38,isn't,26.189,26.6,video
39,just,26.61,26.849,sponsor
40,the,26.849,26.97,sponsor
41,way,26.97,27.119,sponsor
42,scooby-doo,27.119,27.84,sponsor
43,says,27.84,28.23,sponsor
44,the,28.23,28.38,sponsor
45,word,28.38,28.519,sponsor
46,movie,28.529,28.86,sponsor
47,it's,28.86,29.579,sponsor
48,also,29.579,29.759,sponsor
49,a,29.759,29.91,sponsor
50,curated,29.91,30.539,sponsor
51,streaming,30.539,31.009,sponsor
52,service,31.019,31.439,sponsor
53,where,31.439,31.679,sponsor
54,you,31.679,31.71,sponsor
55,watch,31.71,31.98,sponsor
56,some,31.98,32.309,sponsor
57,of,32.309,32.42,sponsor
58,humanity's,32.43,32.55,sponsor
59,greatest,32.55,33.14,sponsor
60,artifacts,33.14,34.14,sponsor
61,curated,34.14,35.01,sponsor
