,word,start,end,category
0,hey,0.03,0.42,video
1,everyone,0.42,0.78,video
2,we,0.78,0.96,video
3,have,0.96,1.079,video
4,a,1.079,1.11,video
5,very,1.11,1.38,video
6,special,1.38,1.64,video
7,episode,1.65,2.159,video
8,for,2.159,2.19,video
9,you,2.19,2.429,video
10,today,2.429,2.46,video
11,a,2.46,2.879,video
12,few,2.879,3.33,video
13,months,3.33,3.629,video
14,ago,3.629,3.71,video
15,we,3.72,4.08,video
16,were,4.08,4.2,video
17,contacted,4.2,4.23,video
18,by,4.23,5.009,video
19,the,5.009,5.069,video
20,make-a-wish,5.069,5.66,video
21,Foundation,5.67,6.509,video
22,which,6.509,6.99,video
23,is,6.99,7.02,video
24,a,7.02,7.14,video
25,nonprofit,7.14,7.629,video
26,organization,7.639,8.639,video
27,dedicated,8.639,8.91,video
28,to,8.91,9.45,video
29,granting,9.45,10.009,video
30,life-changing,10.019,10.8,video
31,wishes,10.8,11.25,video
32,for,11.25,11.73,video
33,children,11.73,12.12,video
34,with,12.12,12.29,video
35,critical,12.3,12.78,video
36,illnesses,12.78,13.259,video
37,they're,13.259,13.71,video
38,reaching,13.71,13.98,video
39,out,13.98,14.209,video
40,to,14.219,14.37,video
41,us,14.37,14.519,video
42,on,14.519,14.7,video
43,behalf,14.7,14.969,video
44,of,14.969,15.24,video
45,a,15.24,15.33,video
46,young,15.33,15.509,video
47,boy,15.509,15.69,video
48,named,15.69,16.039,video
49,Evan,16.049,16.379,video
50,who,16.379,16.619,video
51,loves,16.619,16.98,video
52,the,16.98,17.19,video
53,command,17.19,17.49,video
54,zone,17.49,17.699,video
55,and,17.699,17.93,video
56,wished,17.94,18.119,video
57,to,18.119,18.24,video
58,be,18.24,18.33,video
59,a,18.33,18.359,video
60,part,18.359,18.66,video
61,of,18.66,18.75,video
62,this,18.75,18.9,video
63,show,18.9,19.17,video
64,in,19.17,19.439,video
65,some,19.439,19.64,video
66,way,19.65,19.8,video
67,so,19.8,20.22,video
68,last,20.22,20.49,video
69,week,20.49,20.73,video
70,after,20.73,20.97,video
71,months,20.97,21.449,video
72,of,21.449,21.56,video
73,planning,21.57,21.75,video
74,Evan,21.75,22.439,video
75,and,22.439,22.56,video
76,his,22.56,22.619,video
77,family,22.619,23.07,video
78,flew,23.07,23.34,video
79,in,23.34,23.48,video
80,from,23.49,23.699,video
81,Virginia,23.699,24.21,video
82,and,24.21,24.39,video
83,arrived,24.39,24.75,video
84,at,24.75,24.9,video
85,our,24.9,25.019,video
86,studio,25.019,25.37,video
