,word,start,end,category
0,this,0.03,0.269,video
1,video,0.269,0.63,sponsor
2,is,0.63,0.9,sponsor
3,sponsored,0.9,1.02,sponsor
4,by,1.02,1.38,sponsor
5,expressvpn,1.38,1.939,sponsor
6,now,1.949,2.939,sponsor
7,what,2.939,3.36,sponsor
8,the,3.36,3.57,sponsor
9,heck,3.57,3.899,sponsor
10,is,3.899,4.11,sponsor
11,a,4.11,4.14,sponsor
12,VPN,4.14,4.74,sponsor
13,it's,4.74,5.04,sponsor
14,a,5.04,5.18,sponsor
15,virtual,5.19,5.609,sponsor
16,private,5.609,5.79,sponsor
17,network,5.79,6.33,sponsor
18,a,6.33,6.54,sponsor
19,service,6.54,6.96,sponsor
20,that,6.96,7.07,sponsor
21,encrypts,7.08,7.41,sponsor
22,your,7.41,7.44,sponsor
23,internet,7.44,7.83,sponsor
24,data,7.83,8.04,sponsor
25,and,8.04,8.25,sponsor
26,gives,8.25,8.39,sponsor
27,you,8.4,8.519,sponsor
28,extra,8.519,8.91,sponsor
29,security,8.91,9.36,sponsor
30,against,9.36,9.66,sponsor
31,ad,9.66,9.75,sponsor
32,company's,9.75,10.37,sponsor
33,hackers,10.38,11.01,sponsor
34,and,11.01,11.219,sponsor
35,any,11.219,11.49,sponsor
36,other,11.49,11.67,sponsor
37,online,11.67,11.94,sponsor
38,threats,11.94,12.63,sponsor
39,out,12.63,12.799,sponsor
40,there,12.809,12.84,sponsor
41,it,12.84,13.29,sponsor
42,works,13.29,13.679,sponsor
43,on,13.679,13.83,sponsor
44,your,13.83,13.92,sponsor
45,phone,13.92,14.03,sponsor
46,computer,14.03,15.02,sponsor
47,video,15.03,15.599,sponsor
48,game,15.599,15.929,sponsor
49,consoles,15.929,16.44,sponsor
50,you,16.44,16.619,sponsor
51,name,16.619,16.859,sponsor
52,it,16.859,17.039,sponsor
53,simply,17.039,17.599,sponsor
54,open,17.609,17.88,sponsor
55,up,17.88,17.94,sponsor
56,the,17.94,18.0,sponsor
57,program,18.0,18.24,sponsor
58,at,18.24,18.81,sponsor
59,that,18.81,19.08,sponsor
60,big,19.08,19.38,sponsor
61,button,19.38,19.76,sponsor
62,and,19.77,20.07,sponsor
63,boom,20.07,20.88,sponsor
64,you're,20.88,21.42,sponsor
65,connected,21.42,21.99,sponsor
66,you,21.99,22.17,sponsor
67,can,22.17,22.47,sponsor
68,even,22.47,22.58,sponsor
69,customize,22.59,22.859,sponsor
70,the,22.859,23.31,sponsor
71,location,23.31,23.789,sponsor
72,you,23.789,23.88,sponsor
73,appear,23.88,24.24,sponsor
74,in,24.24,24.259,sponsor
75,like,24.269,24.779,sponsor
76,Japan,24.779,25.47,sponsor
77,for,25.47,25.859,sponsor
78,example,25.859,26.029,sponsor
79,yeah,26.029,27.029,sponsor
80,I,27.029,27.06,sponsor
81,like,27.06,27.39,sponsor
