,word,start,end,category
0,hey,0.03,0.21,video
1,there,0.21,0.42,video
2,fellow,0.42,0.659,video
3,aqua,0.659,1.02,video
4,files,1.02,1.23,video
5,I,1.23,1.56,video
6,improve,1.56,2.01,video
7,it,2.01,2.119,video
8,and,2.129,2.34,video
9,this,2.34,2.61,video
10,is,2.61,2.79,video
11,Jim,2.79,3.09,video
12,Davis,3.09,3.27,video
13,and,3.27,3.81,video
14,in,3.81,4.319,video
15,an,4.319,4.44,video
16,effort,4.44,4.7,video
17,to,4.71,4.74,video
18,curry,4.74,5.009,video
19,favor,5.009,5.339,video
20,with,5.339,5.49,video
21,our,5.49,5.79,video
22,Aquaman,5.79,6.24,video
23,fans,6.24,6.54,video
24,we,6.54,6.71,video
25,will,6.72,6.87,video
26,discuss,6.87,7.2,video
27,now,7.2,7.44,video
28,more,7.44,7.649,video
29,no,7.649,7.859,video
30,more,7.859,8.04,video
31,and,8.04,8.33,video
32,instead,8.34,9.24,video
33,go,9.24,9.45,video
34,back,9.45,9.599,video
35,to,9.599,9.719,video
36,that,9.719,9.87,video
37,first,9.87,10.08,video
38,lesson,10.08,10.65,video
39,we,10.65,10.79,video
40,learned,10.8,11.04,video
41,from,11.04,11.219,video
42,our,11.219,11.34,video
43,first,11.34,11.58,video
44,case,11.58,11.79,video
45,of,11.79,11.82,video
46,crabs,11.82,12.23,video
47,under,12.24,12.87,video
48,the,12.87,12.99,video
49,sea,12.99,13.23,video
50,darling,13.23,13.83,video
51,it's,13.83,14.19,video
52,better,14.19,14.4,video
53,down,14.4,14.539,video
54,where,14.549,15.089,video
55,it's,15.089,15.299,video
56,wetter,15.299,15.45,video
57,take,15.45,15.929,video
58,it,15.929,16.529,video
59,from,16.529,16.68,video
60,the,16.68,16.76,video
61,Tritons,16.77,17.16,video
62,we're,17.16,17.88,video
63,discussing,17.88,18.21,video
64,them,18.21,18.42,video
65,on,18.42,18.6,video
66,web,18.6,18.84,video
67,DM,18.84,25.54,video
68,this,25.55,26.55,video
69,episode,26.55,27.09,video
70,is,27.09,27.119,video
71,brought,27.119,27.359,video
72,to,27.359,27.449,video
73,you,27.449,27.599,video
74,by,27.599,27.66,video
75,nerd,27.66,27.95,video
76,our,27.96,28.109,video
77,keys,28.109,28.289,video
78,out,28.289,28.5,video
79,of,28.5,28.56,video
80,the,28.56,28.769,video
81,box,28.769,28.949,video
82,encounters,28.949,29.519,video
83,live,29.519,29.9,video
84,on,29.91,30.21,video
85,Kickstarter,30.21,30.779,video
86,the,30.779,31.109,video
87,nerd,31.109,31.38,video
88,artists,31.38,31.859,video
89,were,31.859,31.939,video
90,some,31.949,32.13,video
91,of,32.13,32.189,video
92,the,32.189,32.25,video
93,first,32.25,32.489,video
94,youtubers,32.489,33.149,video
95,to,33.149,33.27,video
96,reach,33.27,33.45,video
97,out,33.45,33.65,video
98,in,33.66,33.78,video
99,contact,33.78,34.26,video
100,us,34.26,34.44,video
101,and,34.44,34.53,video
102,we,34.53,34.62,video
103,got,34.62,34.739,video
104,started,34.739,35.36,video
105,we've,35.37,35.76,video
106,played,35.76,36.09,video
107,D&amp;D,36.09,36.36,video
108,with,36.36,36.719,video
109,them,36.719,36.87,video
110,and,36.87,37.079,video
111,they,37.079,37.29,video
112,know,37.29,37.31,video
113,what,37.32,37.8,video
114,makes,37.8,38.04,video
115,for,38.04,38.219,video
116,a,38.219,38.28,video
117,fun,38.28,38.52,video
118,RPG,38.52,38.73,video
119,session,38.73,39.42,video
120,out,39.42,39.6,video
121,of,39.6,39.74,video
122,the,39.75,39.809,video
123,box,39.809,40.02,video
124,encounters,40.02,40.62,video
125,has,40.62,40.77,video
126,all,40.77,41.01,video
127,kinds,41.01,41.52,video
128,of,41.52,41.569,video
129,options,41.579,41.82,video
130,for,41.82,42.27,video
131,integrating,42.27,42.719,video
132,the,42.719,42.809,video
133,encounters,42.809,43.25,video
134,into,43.26,43.469,video
135,your,43.469,43.59,video
136,campaign,43.59,43.95,video
137,and,43.95,44.19,video
138,giving,44.19,45.03,video
139,you,45.03,45.09,video
140,all,45.09,45.29,video
141,the,45.3,45.45,video
142,information,45.45,45.66,video
143,you,45.66,46.14,video
144,need,46.14,46.5,video
145,to,46.5,46.739,video
146,anticipate,46.739,47.15,video
147,your,47.16,47.489,video
148,players,47.489,48.059,video
149,questions,48.059,48.719,video
150,go,48.719,49.23,video
151,check,49.23,49.53,video
152,them,49.53,49.649,video
153,out,49.649,49.76,video
154,link,49.77,50.129,video
155,here,50.129,50.43,video
156,and,50.43,50.61,video
157,in,50.61,50.879,video
158,the,50.879,51.0,video
159,description,51.0,51.03,video
160,and,51.03,51.74,video
161,stay,51.75,52.71,video
162,nerdy,52.71,53.57,video
163,ok,53.57,54.57,video
164,Jim,54.57,54.84,video
165,let,54.84,55.23,video
166,us,55.23,55.35,video
