,word,start,end,category
0,from,0.24,0.56,video
1,hostile,0.56,1.199,video
2,deserts,1.199,1.68,video
3,to,1.68,1.839,video
4,lonely,1.839,2.32,video
5,islands,2.32,2.79,video
6,and,2.8,2.879,video
7,the,2.879,3.12,video
8,highest,3.12,3.52,video
9,mountains,3.52,4.309,video
10,wherever,4.319,4.72,video
11,there,4.72,4.96,video
12,is,4.96,5.12,video
13,space,5.12,5.52,video
14,to,5.52,5.68,video
15,expand,5.68,6.16,video
16,into,6.16,6.71,video
17,humans,6.72,7.2,video
18,do,7.2,7.44,video
19,so,7.44,8.23,video
20,so,8.24,8.639,video
21,it's,8.639,8.88,video
22,hardly,8.88,9.28,video
23,surprising,9.28,9.92,video
24,that,9.92,10.16,video
25,we're,10.16,10.39,video
26,already,10.4,10.719,video
27,making,10.719,11.12,video
28,preparations,11.12,11.84,video
29,to,11.84,12.0,video
30,set,12.0,12.24,video
31,foot,12.24,12.47,video
32,on,12.48,12.639,video
33,mars,12.639,13.19,video
34,and,13.2,13.44,video
35,to,13.44,13.599,video
36,create,13.599,14.0,video
37,the,14.0,14.24,video
38,first,14.24,14.639,video
39,permanent,14.639,15.04,video
40,colony,15.04,15.509,video
41,outside,15.519,16.08,video
42,of,16.08,16.24,video
43,earth,16.24,16.63,video
44,maybe,16.64,17.199,video
45,even,17.199,17.6,video
46,terraform,17.6,18.24,video
47,another,18.24,18.56,video
48,planet,18.56,19.039,video
49,and,19.039,19.189,video
50,turn,19.199,19.439,video
51,it,19.439,19.6,video
52,into,19.6,19.84,video
53,a,19.84,20.0,video
54,second,20.0,20.47,video
55,blue,20.48,20.8,video
56,home,20.8,22.0,video
57,but,22.0,22.24,video
58,wait,22.24,22.8,video
59,before,22.8,23.119,video
60,we,23.119,23.279,video
61,can,23.279,23.439,video
62,get,23.439,23.68,video
63,to,23.68,23.83,video
64,the,23.84,24.0,video
65,nice,24.0,24.4,video
66,future,24.4,24.8,video
67,stuff,24.8,25.269,video
68,we,25.279,25.519,video
69,first,25.519,25.76,video
70,have,25.76,25.92,video
71,to,25.92,26.08,video
72,complete,26.08,26.48,video
73,the,26.48,26.64,video
74,second,26.64,26.95,video
75,phase,26.96,27.279,video
76,of,27.279,27.359,video
77,colonization,27.359,28.55,video
78,creating,28.56,29.119,video
79,a,29.119,29.439,video
80,semi-permanent,29.439,30.24,video
81,outpost,30.24,30.72,video
82,to,30.72,30.87,video
83,prepare,30.88,31.279,video
84,the,31.279,31.439,video
85,ground,31.439,31.84,video
86,for,31.84,32.0,video
87,a,32.0,32.079,video
88,larger,32.079,32.559,video
89,human,32.559,32.95,video
90,but,33.92,34.16,video
91,doing,34.16,34.48,video
92,so,34.48,35.2,video
93,will,35.2,35.44,video
94,be,35.44,42.84,intro
95,gruesome,42.84,46.79,video
96,even,46.8,47.12,video
97,for,47.12,47.36,video
98,an,47.36,47.6,video
99,expansionist,47.6,48.399,video
100,species,48.399,48.96,video
101,like,48.96,49.28,video
102,us,49.28,49.83,video
103,mars,49.84,50.32,video
104,is,50.32,50.559,video
105,extreme,50.559,51.76,video
106,at,51.76,51.92,video
107,first,51.92,52.239,video
108,glance,52.239,52.869,video
109,mars,52.879,53.199,video
110,seems,53.199,53.52,video
111,familiar,53.52,54.399,video
112,polar,54.399,54.8,video
113,ice,54.8,55.039,video
114,caps,55.039,55.6,video
115,large,55.6,55.99,video
116,liquid,56.64,56.96,video
117,water,56.96,57.36,video
118,under,57.36,57.6,video
119,its,57.6,57.76,video
120,surface,57.76,58.399,video
121,and,58.399,58.559,video
122,a,58.559,58.719,video
123,day,58.719,59.029,video
