,word,start,end,category
0,this,0.089,0.48,sponsor
1,episode,0.48,0.9,sponsor
2,of,0.9,0.96,sponsor
3,the,0.96,1.05,sponsor
4,modern,1.05,1.23,sponsor
5,road,1.23,1.38,sponsor
6,brought,1.38,1.579,sponsor
7,to,1.589,1.709,sponsor
8,you,1.709,1.77,sponsor
9,by,1.77,1.89,sponsor
10,hollow,1.89,2.159,sponsor
11,pillow,2.159,2.58,sponsor
12,head,2.58,2.939,sponsor
13,on,2.939,3.03,sponsor
14,over,3.03,3.27,sponsor
15,to,3.27,3.29,sponsor
16,hollow,3.3,3.51,sponsor
17,pillow,3.51,3.78,sponsor
18,calm,3.78,4.2,sponsor
19,/,4.2,4.65,sponsor
20,rogue,4.65,5.359,sponsor
21,get,5.359,6.359,sponsor
22,up,6.359,6.509,sponsor
23,-,6.509,6.66,sponsor
24,$20,6.66,7.249,sponsor
25,off,7.259,7.41,sponsor
26,and,7.41,7.589,sponsor
27,free,7.589,7.649,sponsor
28,shipping,7.649,7.83,sponsor
29,if,7.83,8.28,sponsor
30,you,8.28,8.309,sponsor
31,buy,8.309,8.4,sponsor
32,more,8.4,8.75,sponsor
33,than,8.76,8.88,sponsor
34,what,8.88,9.059,sponsor
35,I,9.059,9.09,sponsor
36,was,9.09,9.3,sponsor
37,so,9.3,9.51,sponsor
38,good,9.51,9.719,sponsor
39,this,9.719,10.53,sponsor
40,is,10.53,10.59,sponsor
41,so,10.59,11.309,sponsor
42,wrong,11.309,11.509,sponsor
43,but,11.519,11.849,sponsor
44,it's,11.849,12.0,sponsor
45,so,12.0,12.15,sponsor
46,right,12.15,13.49,sponsor
47,it's,13.49,14.49,sponsor
48,very,14.49,14.519,sponsor
49,soothing,14.519,14.93,sponsor
50,this,14.94,15.21,sponsor
51,is,15.21,15.299,sponsor
52,what,15.299,15.42,sponsor
53,you're,15.42,15.509,sponsor
54,supposed,15.509,15.599,sponsor
55,to,15.599,15.75,sponsor
56,do,15.75,15.87,sponsor
57,with,15.87,15.919,sponsor
58,them,15.929,16.049,sponsor
59,right,16.049,16.26,sponsor
60,they're,16.26,16.89,sponsor
61,just,16.89,16.92,sponsor
62,really,16.92,17.19,sponsor
63,big,17.19,17.42,sponsor
64,stress,17.43,17.699,sponsor
65,ball,17.699,20.39,sponsor
66,use,20.39,21.39,sponsor
67,both,21.39,21.6,sponsor
68,hands,21.6,25.9,video
69,that,37.91,38.57,video
70,looks,38.57,38.75,video
71,so,38.75,38.87,video
72,amazing,38.87,54.48,video
73,holy,54.49,55.49,video
74,cow,55.49,55.64,video
75,Jason,55.64,56.0,video
76,Murphy,56.0,56.12,video
77,this,56.12,56.33,video
78,is,56.33,56.39,video
79,the,56.39,56.54,video
80,part,56.54,56.71,video
81,of,56.72,56.78,video
82,the,56.78,56.87,video
83,movie,56.87,57.14,video
84,where,57.14,57.35,video
85,we,57.35,57.47,video
86,go,57.47,57.65,video
87,to,57.65,57.71,video
88,the,57.71,57.95,video
89,magical,57.95,58.3,video
90,blacksmith,58.31,58.76,video
91,who,58.76,59.09,video
92,makes,59.09,59.33,video
93,the,59.33,59.54,video
94,enchanted,59.54,60.11,video
95,jeep,60.11,60.28,video
96,chop,60.29,60.5,video
97,that,60.5,60.68,video
98,allows,60.68,60.89,video
99,us,60.89,60.92,video
100,to,60.92,61.1,video
101,slay,61.1,61.46,video
102,the,61.46,61.67,video
103,bad,61.67,62.24,video
104,guy,62.24,62.5,video
105,yeah,62.51,62.84,video
106,and,62.84,63.08,video
107,we,63.08,63.29,video
108,have,63.29,63.62,video
109,an,63.62,63.89,video
110,expert,63.89,64.46,video
111,Jeep,64.46,64.73,video
112,jump,64.73,65.02,video
113,maker,65.03,65.36,video
114,here,65.36,65.75,video
115,Chris,65.75,66.41,video
116,Farrell,66.41,67.04,video
117,from,67.04,67.25,video
118,Fearghal,67.25,67.69,video
119,blades,67.7,68.0,video
120,Chris,68.0,68.27,video
121,how,68.27,68.39,video
122,are,68.39,68.54,video
123,you,68.54,68.66,video
124,so,68.66,68.81,video
125,nice,68.81,68.93,video
126,to,68.93,69.05,video
127,meet,69.05,69.16,video
128,you,69.17,69.29,video
129,guys,69.29,69.44,video
130,dude,69.44,69.86,video
131,okay,69.86,70.19,video
132,so,70.19,70.25,video
133,what,70.25,70.67,video
134,are,70.67,70.73,video
135,we,70.73,70.82,video
136,making,70.82,71.14,video
137,and,71.15,71.33,video
138,what,71.33,71.57,video
139,does,71.57,71.66,video
140,it,71.66,71.78,video
141,start,71.78,72.17,video
142,off,72.17,72.29,video
143,as,72.29,72.5,video
144,we're,72.5,72.94,video
145,gonna,72.95,73.1,video
146,take,73.1,73.34,video
147,an,73.34,73.85,video
148,ancient,73.85,74.33,video
149,Texas,74.33,74.93,video
150,relic,74.93,75.32,video
151,yeah,75.32,75.74,video
152,a,75.74,76.26,video
153,farriers,76.27,77.27,video
154,rasp,77.27,77.45,video
155,and,77.45,77.93,video
156,we're,77.93,78.5,video
157,gonna,78.5,78.62,video
158,see,78.62,78.86,video
159,how,78.86,78.97,video
160,much,78.98,79.16,video
161,material,79.16,79.37,video
162,I,79.37,79.64,video
163,can,79.64,79.7,video
164,stretch,79.7,80.03,video
165,out,80.03,80.24,video
166,of,80.24,80.36,video
167,this,80.36,80.47,video
168,and,80.48,80.72,video
169,make,80.72,80.87,video
170,either,80.87,81.2,video
171,a,81.2,81.44,video
172,medieval,81.44,82.07,video
173,style,82.07,82.25,video
174,dagger,82.25,82.66,video
175,or,82.67,83.09,video
176,a,83.09,83.15,video
177,short,83.15,83.869,video
178,sword,83.869,84.17,video
179,those,84.17,84.8,video
180,you,84.8,84.89,video
181,don't,84.89,85.04,video
182,know,85.04,85.13,video
183,if,85.13,85.24,video
184,farriers,85.25,85.58,video
185,rasp,85.58,85.64,video
186,is,85.64,86.09,video
187,what,86.09,86.42,video
188,you,86.42,86.54,video
189,use,86.54,86.78,video
190,when,86.78,87.05,video
191,your,87.05,87.43,video
192,horse,87.44,87.89,video
193,shoeing,87.89,88.04,video
194,horses,88.04,88.16,video
195,okay,88.16,89.32,video
196,yeah,89.33,89.69,video
197,just,89.69,89.99,video
198,smooth,89.99,90.2,video
199,it,90.2,90.32,video
200,out,90.32,90.47,video
201,to,90.47,90.77,video
202,shape,90.77,90.979,video
203,the,90.979,91.18,video
204,horse's,91.19,91.58,video
205,hooves,91.58,91.79,video
206,and,91.79,92.21,video
207,to,92.21,92.42,video
208,clean,92.42,92.63,video
209,them,92.63,92.78,video
210,up,92.78,92.84,video
211,when,92.84,93.04,video
212,you're,93.05,93.17,video
213,putting,93.17,93.32,video
214,new,93.32,93.5,video
215,shoes,93.5,93.8,video
216,on,93.8,93.979,video
217,them,93.979,94.13,video
218,so,94.13,94.55,video
219,in,94.55,95.23,video
220,keeping,95.24,95.45,video
221,with,95.45,95.63,video
222,the,95.63,95.84,video
223,modern,95.84,96.05,video
224,rogue,96.05,96.26,video
225,philosophy,96.26,96.88,video
226,we're,96.89,97.07,video
227,taking,97.07,97.369,video
228,junk,97.369,97.67,video
229,and,97.67,97.94,video
230,turning,97.94,98.54,video
231,it,98.54,98.63,video
232,into,98.63,98.75,video
233,a,98.75,98.859,video
234,weapon,98.869,99.7,video
235,spoiler,99.7,100.7,video
236,wrath,100.7,100.94,video
237,okay,100.94,101.3,video
238,so,101.3,101.36,video
239,this,101.36,101.63,video
240,is,101.63,101.8,video
241,what,101.81,101.99,video
242,steel,101.99,102.38,video
243,iron,102.38,103.06,video
244,this,103.06,104.06,video
245,is,104.06,104.119,video
246,basically,104.119,104.57,video
247,a,104.57,104.69,video
248,high,104.69,105.13,video
249,carbon,105.14,105.59,video
250,steel,105.59,105.86,video
251,that,105.86,106.25,video
252,you,106.25,106.49,video
253,know,106.49,106.67,video
254,it's,106.67,106.82,video
255,been,106.82,106.99,video
256,kind,107.0,107.24,video
257,of,107.24,107.57,video
258,worn,107.57,107.9,video
259,down,107.9,108.11,video
260,now,108.11,108.41,video
261,from,108.41,108.59,video
262,use,108.59,108.89,video
263,I,108.89,109.07,video
264,assume,109.07,109.48,video
265,we're,109.49,109.7,video
266,not,109.7,109.82,video
267,gonna,109.82,109.97,video
268,melt,109.97,110.33,video
269,this,110.33,110.54,video
270,all,110.54,110.69,video
271,the,110.69,110.78,video
272,way,110.78,110.89,video
273,down,110.9,110.93,video
274,and,110.93,111.32,video
275,then,111.32,111.41,video
276,cast,111.41,111.74,video
277,it,111.74,112.009,video
278,since,112.009,112.28,video
279,it's,112.28,112.43,video
280,already,112.43,112.6,video
281,roughly,112.61,113.18,video
282,the,113.18,113.36,video
283,shape,113.36,113.39,video
284,of,113.39,113.81,video
285,some,113.81,114.17,video
286,kind,114.17,114.35,video
287,of,114.35,114.38,video
