,word,start,end,category
0,I'm,0.03,0.659,video
1,gonna,0.659,0.78,video
2,have,0.78,0.9,video
3,to,0.9,1.02,video
4,skip,1.02,1.23,video
5,a,1.23,1.38,video
6,lot,1.38,1.62,video
7,like,1.62,2.1,video
8,a,2.1,2.129,video
9,lot,2.129,2.48,video
10,okay,2.49,3.389,video
11,there's,3.389,3.57,video
12,a,3.57,3.629,video
13,15,3.629,4.08,video
14,second,4.08,4.44,video
15,level,4.44,4.71,video
16,it,4.71,5.13,video
17,can't,5.13,5.329,video
18,be,5.339,5.43,video
19,that,5.43,5.46,video
20,word,5.46,5.79,video
21,you,5.79,6.629,video
22,killed,6.629,6.839,video
23,you,6.839,7.79,video
24,can't,7.79,8.79,video
25,I,8.79,9.08,video
26,forgot,9.09,9.809,video
27,that,9.809,9.84,video
28,I,9.84,10.019,video
29,have,10.019,10.139,video
30,to,10.139,10.2,video
31,like,10.2,10.349,video
32,worry,10.349,10.53,video
33,about,10.53,10.73,video
34,live,10.74,10.98,video
35,them,10.98,12.32,video
36,no,12.32,15.65,video
37,let,15.65,16.65,video
38,me,16.65,16.68,video
39,see,16.68,16.8,video
40,what,16.8,16.92,video
41,the,16.92,16.98,video
42,rest,16.98,17.1,video
43,of,17.1,17.18,video
44,love,17.19,17.34,video
45,looks,17.34,17.52,video
46,like,17.52,17.55,video
47,that's,17.55,17.82,video
48,it,17.82,18.119,video
49,that's,18.119,18.33,video
50,all,18.33,18.51,video
51,I,18.51,18.62,video
52,gotta,18.63,18.93,video
53,do,18.93,19.17,video
54,is,19.17,19.439,video
55,the,19.439,19.77,video
56,easy,19.77,20.039,video
57,super,20.039,20.369,video
58,extra,20.369,20.64,video
59,level,20.64,20.87,video
60,whole,20.88,21.029,video
61,time,21.029,23.06,video
62,no,23.06,24.06,video
63,I,24.06,24.81,video
64,have,24.81,25.08,video
65,lick,25.08,25.5,video
66,my,25.5,25.68,video
67,balls,25.68,25.88,video
68,you,26.699,26.789,video
69,gave,26.789,26.97,video
70,note,26.97,27.18,video
71,that,27.18,27.39,video
72,is,27.39,27.51,video
73,either,27.51,28.08,video
74,the,28.08,28.279,video
75,practice,28.289,32.36,video
76,practice,32.36,33.36,video
77,survival,33.36,33.87,video
78,section,33.87,34.29,video
79,or,34.29,34.53,video
80,a,34.53,34.549,video
81,dodge,34.559,34.8,video
82,everything,34.8,35.87,video
83,button,35.87,38.78,sponsor
84,hey,38.78,39.78,sponsor
85,it's,39.78,40.68,sponsor
86,me,40.68,40.98,sponsor
87,I'm,40.98,41.299,sponsor
88,gonna,41.309,41.879,sponsor
89,kick,41.879,42.27,sponsor
90,just,42.27,42.48,sponsor
91,three,42.48,42.78,sponsor
92,thousand,42.78,44.03,sponsor
93,no,44.03,45.03,sponsor
94,I,45.03,45.36,sponsor
95,sort,45.36,46.34,sponsor
96,of,46.35,46.41,sponsor
97,didn't,46.41,46.649,sponsor
98,catch,46.649,46.91,sponsor
99,but,46.91,47.91,sponsor
100,really,47.91,48.539,sponsor
101,not,48.539,48.719,sponsor
102,that,48.719,48.84,sponsor
103,big,48.84,49.04,sponsor
104,of,49.05,49.079,sponsor
105,a,49.079,49.23,sponsor
106,deal,49.23,49.41,sponsor
107,if,49.41,50.039,sponsor
108,I,50.039,50.16,sponsor
109,get,50.16,50.28,sponsor
110,to,50.28,50.37,sponsor
111,stay,50.37,50.579,sponsor
112,here,50.579,50.82,sponsor
113,and,50.82,50.969,sponsor
114,play,50.969,51.049,sponsor
115,reach,51.059,51.449,sponsor
116,that,51.449,51.719,sponsor
117,alleged,51.719,52.199,sponsor
118,on,52.199,52.379,sponsor
119,my,52.379,52.829,sponsor
120,phone,52.829,53.51,sponsor
121,captivity,53.52,55.1,sponsor
122,Spanish,55.1,56.3,sponsor
123,wait,56.3,57.3,sponsor
124,you,57.3,57.719,sponsor
125,get,57.719,58.469,sponsor
126,you,58.469,59.129,sponsor
127,don't,59.129,59.24,sponsor
128,know,59.25,59.37,sponsor
129,what,59.37,59.52,sponsor
130,raised,59.52,59.85,sponsor
131,shadow,59.85,60.98,sponsor
132,ray,60.98,61.98,sponsor
133,satellite,61.98,62.66,sponsor
134,dude,62.67,62.82,sponsor
135,there's,62.82,62.969,sponsor
136,a,62.969,63.059,sponsor
137,brand-new,63.059,63.51,sponsor
138,collection,63.51,63.89,sponsor
139,RPG,63.89,64.88,sponsor
140,gave,64.89,65.309,sponsor
141,me,65.309,65.64,sponsor
142,you,65.64,65.76,sponsor
143,never,65.76,66.0,sponsor
144,heard,66.0,66.45,sponsor
145,it,66.45,66.95,sponsor
146,there's,66.96,67.56,sponsor
147,already,67.56,67.83,sponsor
148,almost,67.83,68.28,sponsor
149,10,68.28,68.85,sponsor
150,million,68.85,69.23,sponsor
151,players,69.24,69.96,sponsor
152,who,69.96,70.35,sponsor
153,have,70.35,70.53,sponsor
154,downloaded,70.53,70.77,sponsor
155,the,70.77,71.13,sponsor
156,game,71.13,71.159,sponsor
157,in,71.159,71.45,sponsor
158,three,71.46,71.7,sponsor
159,months,71.7,72.0,sponsor
160,you've,72.0,72.479,sponsor
161,been,72.479,72.659,sponsor
162,living,72.659,72.93,sponsor
163,under,72.93,73.14,sponsor
164,a,73.14,73.19,sponsor
165,rock,73.2,73.32,sponsor
166,dude,73.32,73.92,sponsor
167,you,73.92,74.549,sponsor
168,have,74.549,74.7,sponsor
169,great,74.7,75.18,sponsor
170,graphics,75.18,75.969,sponsor
171,strategic,75.979,76.979,sponsor
172,gameplay,76.979,77.22,sponsor
173,and,77.22,77.79,sponsor
174,amazing,77.79,78.509,sponsor
175,storyline,78.509,78.98,sponsor
176,and,78.99,79.17,sponsor
177,over,79.17,79.409,sponsor
178,400,79.409,80.1,sponsor
179,champions,80.1,80.64,sponsor
180,free,80.64,80.85,sponsor
181,to,80.85,80.97,sponsor
182,collect,80.97,81.26,sponsor
183,my,81.27,82.049,sponsor
184,favorite,82.049,82.56,sponsor
185,is,82.56,83.06,sponsor
186,it,83.06,84.06,sponsor
187,those,84.06,84.86,sponsor
188,because,84.86,86.0,sponsor
189,they're,86.0,86.99,sponsor
190,kind,87.0,87.21,sponsor
191,of,87.21,87.299,sponsor
192,like,87.299,87.45,sponsor
193,me,87.45,87.78,sponsor
194,I'm,87.78,88.159,sponsor
195,kind,88.159,89.159,sponsor
196,of,89.159,89.25,sponsor
197,like,89.25,89.43,sponsor
198,if,89.43,89.66,sponsor
199,those,89.67,89.88,sponsor
200,there's,89.88,90.63,sponsor
201,just,90.63,90.84,sponsor
202,so,90.84,91.14,sponsor
203,much,91.14,91.439,sponsor
204,to,91.439,91.5,sponsor
205,do,91.5,92.1,sponsor
206,like,92.1,92.39,sponsor
207,everyone,92.4,93.06,sponsor
208,can,93.06,93.36,sponsor
209,find,93.36,93.6,sponsor
210,something,93.6,93.75,sponsor
211,that,93.75,94.29,sponsor
212,they,94.29,94.52,sponsor
213,enjoy,94.53,94.79,sponsor
214,specifically,94.79,95.79,sponsor
215,I,95.79,95.97,sponsor
216,love,95.97,96.299,sponsor
217,to,96.299,96.45,sponsor
218,destroy,96.45,96.59,sponsor
219,news,96.6,97.02,sponsor
220,you,97.02,97.56,sponsor
221,guys,97.56,97.71,sponsor
222,aren't,97.71,97.92,sponsor
223,even,97.92,98.009,sponsor
224,that,98.009,98.31,sponsor
225,I'm,98.31,98.49,sponsor
226,the,98.49,98.66,sponsor
227,new,98.67,98.79,sponsor
228,destroy,98.79,99.21,sponsor
229,what,99.21,99.81,sponsor
230,do,99.81,99.869,sponsor
231,you,99.869,99.96,sponsor
232,think,99.96,100.259,sponsor
233,ding,100.259,102.01,sponsor
234,you,102.02,102.14,sponsor
235,play,102.14,102.65,sponsor
236,a,102.65,102.68,sponsor
237,great,102.68,103.1,sponsor
238,shadow,103.1,103.52,sponsor
239,legends,103.52,104.119,sponsor
240,the,104.119,104.57,sponsor
241,best,104.57,104.92,sponsor
242,replay,104.93,105.47,sponsor
243,game,105.47,105.71,sponsor
244,of,105.71,105.95,sponsor
245,all,105.95,106.13,sponsor
246,time,106.13,109.78,sponsor
247,which,109.78,110.78,sponsor
248,i,110.78,110.899,sponsor
249,think,110.899,110.96,sponsor
250,is,110.96,111.13,sponsor
251,universally,111.14,111.77,sponsor
252,agreed,111.77,112.009,sponsor
253,upon,112.009,112.1,sponsor
254,to,112.1,112.31,sponsor
255,me,112.31,112.399,sponsor
256,there's,112.399,112.539,sponsor
257,almost,112.549,112.82,sponsor
258,"200,000",112.82,113.45,sponsor
259,of,113.45,113.57,sponsor
260,you,113.57,113.75,sponsor
261,saying,113.75,114.2,sponsor
262,that,114.2,114.32,sponsor
263,it's,114.32,114.59,sponsor
264,a,114.59,114.67,sponsor
265,perfect,114.68,115.07,sponsor
266,game,115.07,115.189,sponsor
267,and,115.189,115.49,sponsor
268,the,115.49,116.09,sponsor
269,new,116.09,116.24,sponsor
270,updated,116.24,116.6,sponsor
271,one,116.6,116.92,sponsor
272,line,116.93,117.11,sponsor
273,which,117.11,117.289,sponsor
274,means,117.289,117.439,sponsor
275,it's,117.439,117.649,sponsor
276,like,117.649,117.74,sponsor
277,the,117.74,117.86,sponsor
278,perfect,117.86,118.24,sponsor
279,time,118.25,118.399,sponsor
280,to,118.399,118.43,sponsor
281,join,118.43,118.729,sponsor
282,because,118.729,118.97,sponsor
283,for,118.97,119.27,sponsor
284,the,119.27,119.36,sponsor
285,first,119.36,119.39,sponsor
286,90,119.39,120.039,sponsor
287,days,120.049,120.08,sponsor
288,you're,120.08,120.53,sponsor
289,going,120.53,120.619,sponsor
290,to,120.619,120.68,sponsor
291,be,120.68,120.799,sponsor
292,rewarded,120.799,120.95,sponsor
293,just,120.95,121.539,sponsor
294,for,121.549,121.7,sponsor
295,logging,121.7,121.97,sponsor
296,in,121.97,122.179,sponsor
297,daily,122.179,122.33,sponsor
298,and,122.33,122.72,sponsor
299,that's,122.72,123.02,sponsor
300,going,123.02,123.14,sponsor
301,to,123.14,123.19,sponsor
302,go,123.2,123.289,sponsor
303,a,123.289,123.32,sponsor
304,long,123.32,123.59,sponsor
305,way,123.59,123.86,sponsor
306,on,123.86,124.159,sponsor
307,destroying,124.159,124.67,sponsor
