,word,start,end,category
0,it's,0.089,0.51,video
1,pretty,0.51,0.9,video
2,rare,0.9,1.17,video
3,that,1.17,1.469,video
4,a,1.469,1.53,video
5,movie,1.53,2.07,video
6,or,2.07,2.25,video
7,game,2.25,2.639,video
8,or,2.639,3.05,video
9,any,3.06,3.36,video
10,media,3.36,3.78,video
11,will,3.78,4.11,video
12,come,4.11,4.41,video
13,out,4.41,4.589,video
14,and,4.589,5.009,video
15,essentially,5.009,5.749,video
16,define,5.759,6.27,video
17,its,6.27,6.569,video
18,own,6.569,6.75,video
19,genre,6.75,6.779,video
20,or,6.779,7.71,video
21,event,7.71,8.22,video
22,kind,8.22,8.61,video
23,of,8.61,8.69,video
24,like,8.7,8.849,video
25,how,8.849,9.03,video
26,in,9.03,9.21,video
27,Jaws,9.21,9.51,video
28,and,9.51,9.54,video
29,Star,9.54,10.2,video
30,Wars,10.2,10.23,video
31,initially,10.23,11.209,video
32,came,11.219,11.4,video
33,out,11.4,11.58,video
34,in,11.58,11.67,video
35,the,11.67,11.759,video
36,70s,11.759,12.03,video
37,they,12.03,12.599,video
38,were,12.599,12.63,video
39,labeled,12.63,13.139,video
40,as,13.139,13.31,video
41,blockbusters,13.32,14.25,video
42,because,14.25,14.639,video
43,people,14.639,15.0,video
44,would,15.0,15.089,video
45,be,15.089,15.23,video
46,forced,15.24,15.48,video
47,to,15.48,15.719,video
48,line,15.719,15.96,video
49,up,15.96,16.139,video
50,around,16.139,16.379,video
51,the,16.379,16.89,video
52,block,16.89,17.039,video
53,to,17.039,17.54,video
54,see,17.55,17.82,video
55,him,17.82,18.029,video
56,now,18.029,18.48,video
57,it's,18.48,18.75,video
58,kind,18.75,19.02,video
59,of,19.02,19.109,video
60,just,19.109,19.32,video
61,tacked,19.32,19.56,video
62,on,19.56,19.79,video
63,to,19.8,20.22,video
64,every,20.22,20.88,video
65,movie,20.88,21.18,video
66,that,21.18,21.21,video
67,comes,21.21,21.57,video
68,out,21.57,22.04,video
69,ain't,22.05,22.38,video
70,nobody,22.38,23.13,video
71,blind,23.13,23.64,video
72,enough,23.64,23.82,video
73,for,23.82,24.05,video
74,Blockbuster,24.06,24.66,video
75,Video,24.66,24.93,video
76,these,24.93,25.26,video
77,days,25.26,27.71,video
78,it's,27.71,28.71,video
79,just,28.71,29.029,video
80,become,29.039,29.4,video
81,kind,29.4,29.789,video
82,of,29.789,29.849,video
83,a,29.849,29.97,video
84,buzzword,29.97,30.449,video
85,that,30.449,30.48,video
86,you,30.48,30.81,video
87,throw,30.81,31.009,video
88,on,31.019,31.199,video
89,to,31.199,31.439,video
90,attempt,31.439,31.769,video
91,to,31.769,31.92,video
92,classify,31.92,32.13,video
93,something,32.13,33.049,video
94,kinda,33.059,33.63,video
95,like,33.63,33.66,video
96,Dark,33.66,34.14,video
97,Souls,34.14,34.44,video
98,crash,34.44,35.1,video
99,bandicoot's,35.1,35.69,video
100,the,35.7,35.88,video
101,Dark,35.88,36.149,video
102,Souls,36.149,36.45,video
103,the,36.45,36.6,video
104,3d,36.6,36.96,video
105,platforming,36.96,37.71,video
106,hub,37.71,37.97,video
107,heads,37.98,38.25,video
108,the,38.25,38.399,video
109,dark,38.399,38.67,video
110,souls,38.67,38.969,video
111,of,38.969,39.21,video
112,2d,39.21,39.54,video
113,platforming,39.54,40.28,video
114,let,40.29,40.77,video
115,it,40.77,40.89,video
116,die,40.89,41.1,video
117,the,41.1,41.52,video
118,goofy,41.52,41.7,video
119,Dark,41.7,42.09,video
120,Souls,42.09,44.39,video
121,hello,44.39,45.39,video
122,hi,45.39,45.59,video
123,yes,45.6,45.93,video
124,it's,45.93,46.17,video
125,me,46.17,46.289,video
126,Austin,46.289,46.469,video
127,and,46.469,47.039,video
128,today,47.039,47.28,video
129,we're,47.28,47.399,video
130,gonna,47.399,47.51,video
131,be,47.52,47.67,video
132,talking,47.67,47.85,video
133,about,47.85,48.059,video
134,some,48.059,48.42,video
135,Dark,48.42,48.69,video
136,Souls,48.69,48.989,video
137,clones,48.989,49.4,video
138,of,49.41,49.86,video
139,which,49.86,50.16,video
140,there's,50.16,50.85,video
141,a,50.85,50.94,video
142,lot,50.94,51.12,video
143,of,51.12,51.27,video
144,them,51.27,51.449,video
145,but,51.449,51.629,video
146,first,51.629,51.92,video
147,I,51.93,52.289,video
148,want,52.289,52.62,video
149,to,52.62,52.649,video
150,talk,52.649,52.8,video
151,to,52.8,52.949,video
152,you,52.949,53.01,video
153,guys,53.01,53.16,video
154,about,53.16,53.399,video
155,today's,53.399,53.779,video
156,sponsor,53.789,54.39,video
157,raid,54.39,54.899,video
158,shadow,54.899,55.44,video
159,legends,55.44,55.98,video
160,if,55.98,56.43,sponsor
161,you're,56.43,56.63,sponsor
162,into,56.64,56.85,sponsor
163,mobile,56.85,57.03,sponsor
164,games,57.03,57.42,sponsor
165,at,57.42,57.629,sponsor
166,all,57.629,57.75,sponsor
167,this,57.75,58.079,sponsor
168,is,58.079,58.25,sponsor
169,definitely,58.26,58.71,sponsor
170,one,58.71,58.98,sponsor
171,you're,58.98,59.129,sponsor
172,gonna,59.129,59.219,sponsor
173,want,59.219,59.46,sponsor
174,to,59.46,59.51,sponsor
175,check,59.52,59.76,sponsor
176,out,59.76,59.94,sponsor
177,raids,59.94,60.239,sponsor
178,a,60.239,60.329,sponsor
179,free,60.329,60.539,sponsor
180,game,60.539,60.78,sponsor
181,that,60.78,60.989,sponsor
182,hit,60.989,61.17,sponsor
183,the,61.17,61.31,sponsor
184,scene,61.32,61.559,sponsor
185,three,61.559,61.89,sponsor
186,months,61.89,62.19,sponsor
187,ago,62.19,62.28,sponsor
188,and,62.28,62.609,sponsor
189,already,62.609,62.85,sponsor
190,has,62.85,63.2,sponsor
191,nearly,63.21,63.719,sponsor
192,10,63.719,64.019,sponsor
193,million,64.019,64.29,sponsor
194,players,64.29,64.739,sponsor
195,worldwide,64.739,65.09,sponsor
196,why,65.09,66.08,sponsor
197,well,66.09,66.54,sponsor
198,because,66.54,67.08,sponsor
199,it's,67.08,67.29,sponsor
200,actually,67.29,67.5,sponsor
201,pretty,67.5,67.95,sponsor
202,solid,67.95,68.42,sponsor
203,I,68.43,68.549,sponsor
204,love,68.549,68.85,sponsor
205,playing,68.85,69.0,sponsor
206,RPGs,69.0,69.6,sponsor
207,on,69.6,69.75,sponsor
208,the,69.75,69.84,sponsor
209,go,69.84,69.99,sponsor
210,and,69.99,70.14,sponsor
211,if,70.14,70.219,sponsor
212,you're,70.229,70.32,sponsor
213,a,70.32,70.38,sponsor
214,fan,70.38,70.65,sponsor
215,of,70.65,70.86,sponsor
216,traditional,70.86,71.04,sponsor
217,strategic,71.04,71.78,sponsor
218,turn-based,71.79,72.0,sponsor
219,gameplay,72.0,72.63,sponsor
220,and,72.63,73.08,sponsor
221,big,73.08,73.29,sponsor
222,story,73.29,73.619,sponsor
223,piece,73.619,73.85,sponsor
224,boss,73.86,74.159,sponsor
225,fights,74.159,74.49,sponsor
226,this,74.49,74.79,sponsor
227,one's,74.79,74.97,sponsor
228,got,74.97,75.119,sponsor
229,a,75.119,75.15,sponsor
230,lot,75.15,75.299,sponsor
231,to,75.299,75.44,sponsor
232,offer,75.45,75.479,sponsor
233,I'm,75.479,75.99,sponsor
234,not,75.99,76.17,sponsor
235,used,76.17,76.38,sponsor
236,to,76.38,76.47,sponsor
237,my,76.47,76.619,sponsor
238,mobile,76.619,76.86,sponsor
239,games,76.86,77.179,sponsor
240,having,77.189,77.52,sponsor
241,like,77.52,77.67,sponsor
242,quality,77.67,78.24,sponsor
243,3d,78.24,78.659,sponsor
244,graphics,78.659,79.229,sponsor
245,I,79.229,79.409,sponsor
246,mean,79.409,79.55,sponsor
247,look,79.56,79.71,sponsor
248,at,79.71,79.77,sponsor
249,these,79.77,79.86,sponsor
250,champions,79.86,80.43,sponsor
251,the,80.43,80.7,sponsor
252,heck,80.7,80.88,sponsor
253,there's,80.88,81.32,sponsor
254,a,81.33,81.42,sponsor
255,plethora,81.42,81.659,sponsor
256,of,81.659,81.93,sponsor
257,Heroes,81.93,82.409,sponsor
258,to,82.409,82.56,sponsor
259,grab,82.56,82.799,sponsor
260,fuse,82.799,83.4,sponsor
261,and,83.4,83.66,sponsor
262,make,83.67,83.909,sponsor
263,all,83.909,84.15,sponsor
264,big,84.15,84.54,sponsor
265,strong,84.54,84.869,sponsor
266,the,84.869,85.11,sponsor
267,highly,85.11,85.46,sponsor
268,anticipated,85.47,86.1,sponsor
269,update,86.1,86.4,sponsor
270,just,86.4,86.58,sponsor
271,went,86.58,86.759,sponsor
272,live,86.759,86.909,sponsor
273,so,86.909,87.17,sponsor
274,there's,87.18,87.39,sponsor
275,a,87.39,87.45,sponsor
276,ton,87.45,87.63,sponsor
277,of,87.63,87.659,sponsor
278,new,87.659,87.78,sponsor
279,stuff,87.78,88.02,sponsor
280,for,88.02,88.17,sponsor
281,everyone,88.17,88.52,sponsor
282,to,88.53,88.619,sponsor
283,experience,88.619,88.979,sponsor
284,in,88.979,89.34,sponsor
285,fact,89.34,89.61,sponsor
286,there's,89.61,89.82,sponsor
287,a,89.82,89.909,sponsor
288,lot,89.909,90.03,sponsor
289,of,90.03,90.14,sponsor
290,content,90.15,90.509,sponsor
291,for,90.509,90.6,sponsor
292,everyone,90.6,91.079,sponsor
293,that's,91.079,91.29,sponsor
294,gonna,91.29,91.409,sponsor
295,keep,91.409,91.64,sponsor
296,you,91.65,91.77,sponsor
297,busy,91.77,91.95,sponsor
298,so,91.95,92.34,sponsor
299,if,92.34,92.43,sponsor
300,you,92.43,92.52,sponsor
301,want,92.52,92.67,sponsor
302,to,92.67,92.729,sponsor
303,hop,92.729,92.88,sponsor
304,in,92.88,93.06,sponsor
305,on,93.06,93.14,sponsor
306,this,93.15,93.329,sponsor
307,use,93.329,93.63,sponsor
308,my,93.63,93.81,sponsor
309,special,93.81,94.259,sponsor
310,link,94.259,94.439,sponsor
311,in,94.439,94.53,sponsor
312,the,94.53,94.609,sponsor
313,description,94.619,95.13,sponsor
314,to,95.13,95.22,sponsor
315,get,95.22,95.31,sponsor
316,a,95.31,95.369,sponsor
317,head,95.369,95.579,sponsor
318,start,95.579,95.729,sponsor
319,a,95.729,95.97,sponsor
320,fifty,95.97,96.289,sponsor
321,thousand,96.299,96.689,sponsor
322,silver,96.689,96.9,sponsor
323,and,96.9,97.2,sponsor
324,a,97.2,97.229,sponsor
325,free,97.229,97.439,sponsor
326,epic,97.439,97.71,sponsor
327,champion,97.71,98.149,sponsor
328,that'll,98.159,98.369,sponsor
329,pop,98.369,98.579,sponsor
330,after,98.579,98.82,sponsor
331,seven,98.82,99.299,sponsor
332,days,99.299,99.479,sponsor
333,so,99.479,100.14,sponsor
334,go,100.14,100.229,sponsor
335,check,100.229,100.429,sponsor
336,it,100.439,100.619,sponsor
337,out,100.619,100.71,sponsor
338,and,100.71,100.95,sponsor
339,a,100.95,101.009,sponsor
340,big,101.009,101.25,sponsor
341,THANK,101.25,101.549,sponsor
342,YOU,101.549,101.64,sponsor
343,to,101.64,101.729,sponsor
344,Rage,101.729,102.02,sponsor
345,shadow,102.03,102.42,sponsor
346,legends,102.42,102.869,sponsor
347,for,102.869,103.049,sponsor
348,sponsoring,103.049,103.56,sponsor
349,this,103.56,103.71,sponsor
350,video,103.71,104.02,sponsor
351,know,104.03,105.03,sponsor
352,on,105.03,105.27,sponsor
353,with,105.27,105.42,sponsor
354,the,105.42,105.509,sponsor
355,show,105.509,105.659,sponsor
356,for,105.659,106.59,video
357,those,106.59,106.73,video
358,unfamiliar,106.74,107.399,video
359,with,107.399,107.61,video
360,Dark,107.61,107.85,video
361,Souls,107.85,108.119,video
362,watching,108.119,108.509,video
363,this,108.509,108.649,video
364,say,108.659,108.96,video
365,like,108.96,109.259,video
366,my,109.259,109.74,video
367,parents,109.74,110.22,video
368,let's,110.22,110.88,video
369,run,110.88,111.06,video
370,it,111.06,111.18,video
371,down,111.18,111.289,video
372,real,111.299,111.57,video
373,quick,111.57,111.78,video
374,demon,111.78,112.32,video
375,souls,112.32,112.53,video
376,was,112.53,112.799,video
377,a,112.799,112.829,video
378,weird,112.829,113.189,video
379,as,113.189,113.389,video
380,hell,113.399,113.61,video
381,3d,113.61,114.27,video
382,action,114.27,114.6,video
383,game,114.6,115.079,video
384,that,115.079,115.32,video
385,released,115.32,115.649,video
386,on,115.649,115.799,video
387,the,115.799,115.88,video
388,PlayStation,115.89,116.579,video
389,3,116.579,116.61,video
390,back,116.61,117.149,video
391,in,117.149,117.18,video
392,2009,117.18,117.899,video
393,by,117.899,118.35,video
394,from,118.35,118.7,video
395,software,118.71,118.979,video
396,those,118.979,119.67,video
397,dudes,119.67,119.909,video
398,were,119.909,120.0,video
399,at,120.0,120.119,video
400,the,120.119,120.24,video
401,time,120.24,120.469,video
402,most,120.479,120.75,video
403,notorious,120.75,121.439,video
404,for,121.439,121.68,video
405,the,121.68,121.77,video
406,armored,121.77,122.07,video
407,Corps,122.07,122.33,video
408,franchise,122.34,122.88,video
409,which,122.88,123.21,video
410,by,123.21,123.63,video
411,the,123.63,123.689,video
412,way,123.689,123.78,video
413,I'm,123.78,124.35,video
414,still,124.35,124.789,video
415,waiting,124.799,125.13,video
416,for,125.13,125.159,video
417,a,125.159,125.52,video
418,new,125.52,125.64,video
419,one,125.64,125.82,video
420,demons,125.82,126.509,video
421,got,126.509,126.84,video
422,a,126.84,126.869,video
423,lot,126.869,127.069,video
424,of,127.079,127.2,video
425,notoriety,127.2,127.409,video
426,for,127.409,128.099,video
427,having,128.099,128.399,video
428,an,128.399,128.489,video
429,ounce,128.489,128.729,video
430,of,128.729,129.05,video
431,difficulty,129.06,129.72,video
432,back,129.72,130.02,video
433,in,130.02,130.17,video
434,a,130.17,130.259,video
435,time,130.259,130.53,video
436,where,130.53,130.88,video
437,games,130.89,131.1,video
438,were,131.1,131.43,video
439,considerably,131.43,132.36,video
440,easier,132.36,132.66,video
441,than,132.66,133.17,video
442,they,133.17,133.28,video
443,are,133.29,133.319,video
444,now,133.319,133.68,video
445,I,133.68,134.04,video
446,think,134.04,134.28,video
447,we,134.28,134.4,video
448,can,134.4,134.58,video
449,blame,134.58,135.27,video
450,halo,135.27,135.75,video
451,for,135.75,136.04,video
452,the,136.05,136.11,video
453,whole,136.11,136.34,video
454,regenerating,136.34,137.34,video
455,health,137.34,137.37,video
456,thing,137.37,137.99,video
457,Demon,138.0,138.6,video
458,Souls,138.6,138.84,video
459,would,138.84,138.99,video
460,be,138.99,139.14,video
461,like,139.14,139.29,video
462,a,139.29,139.41,video
463,what's,139.41,139.77,video
464,up,139.77,139.91,video
465,your,139.92,140.13,video
466,[ __ ],140.13,140.43,video
467,dirt,140.43,140.64,video
468,then,140.64,140.88,video
469,people,140.88,141.09,video
470,loved,141.09,141.54,video
471,that,141.54,141.8,video
472,[ __ ],141.81,142.11,video
473,I,142.11,142.29,video
474,love,142.29,142.65,video
475,that,142.65,142.86,video
476,[ __ ],142.86,143.13,video
477,but,143.13,143.43,video
478,more,143.43,143.63,video
479,importantly,143.64,144.09,video
480,demons,144.09,144.81,video
481,and,144.81,145.17,video
482,the,145.17,145.319,video
483,spiritual,145.319,145.76,video
484,successors,145.77,146.4,video
485,in,146.4,146.43,video
486,Dark,146.43,146.91,video
487,Souls,146.91,147.24,video
488,blood-borne,147.24,148.08,video
489,and,148.08,148.28,video
490,say,148.29,148.56,video
491,Kiro,148.56,148.92,video
492,presented,148.92,149.37,video
493,the,149.37,149.459,video
494,player,149.459,149.67,video
495,with,149.67,149.85,video
496,so,149.85,150.14,video
497,much,150.15,150.3,video
498,more,150.3,150.63,video
499,than,150.63,150.84,video
500,angry,150.84,151.26,video
501,gamer,151.26,151.62,video
502,moments,151.62,152.16,video
503,on,152.16,152.27,video
504,YouTube,152.28,152.73,video
505,and,152.73,153.03,video
506,griefing,153.03,153.51,video
507,videos,153.51,153.93,video
508,although,153.93,154.46,video
509,those,154.47,154.83,video
510,grieving,154.83,155.37,video
511,videos,155.37,155.67,video
512,are,155.67,155.82,video
513,pretty,155.82,156.03,video
514,great,156.03,156.29,video
515,you,156.3,156.54,video
516,had,156.54,156.72,video
517,an,156.72,156.87,video
518,impressive,156.87,157.26,video
519,amount,157.26,157.739,video
520,of,157.739,157.82,video
521,world-building,157.83,158.19,video
522,only,158.19,158.97,video
523,discoverable,158.97,159.75,video
524,through,159.75,159.979,video
525,the,159.989,160.11,video
526,players,160.11,160.41,video
527,efforts,160.41,160.98,video
528,a,160.98,161.22,video
529,minimal,161.22,161.67,video
530,amount,161.67,162.03,video
531,of,162.03,162.29,video
532,central,162.3,162.81,video
533,narrative,162.81,163.05,video
534,dark,163.05,164.04,video
535,fantasy,164.04,164.64,video
536,world,164.64,164.91,video
537,or,164.91,165.11,video
538,even,165.12,165.15,video
539,sometimes,165.15,165.69,video
540,some,165.69,166.35,video
541,horrifying,166.35,166.92,video
542,Lovecraft,166.92,167.87,video
543,II,167.88,168.09,video
544,and,168.09,168.239,video
545,stuff,168.239,168.51,video
546,he,168.51,168.75,video
547,had,168.75,168.9,video
548,bosses,168.9,169.14,video
549,that,169.14,169.65,video
550,you,169.65,169.699,video
551,trial-and-error,169.709,170.34,video
552,it,170.34,170.79,video
553,against,170.79,171.15,video
554,for,171.15,171.39,video
555,hours,171.39,171.84,video
556,in,171.84,172.07,video
557,an,172.08,172.2,video
558,attempt,172.2,172.59,video
559,to,172.59,172.62,video
560,conquer,172.62,173.01,video
561,it's,173.01,173.519,video
562,all,173.519,173.85,video
563,fair,173.85,174.209,video
564,and,174.209,174.229,video
565,as,174.239,174.6,video
566,long,174.6,174.78,video
567,as,174.78,174.9,video
568,you're,174.9,175.019,video
569,on,175.019,175.11,video
570,your,175.11,175.26,video
571,toes,175.26,175.47,video
572,you,175.47,175.83,video
573,can,175.83,175.85,video
574,do,175.86,176.13,video
575,it,176.13,176.31,video
576,hell,176.31,176.61,video
577,I,176.61,176.64,video
578,did,176.64,177.0,video
579,it,177.0,177.15,video
580,I,177.15,177.269,video
581,beats,177.269,177.6,video
582,a,177.6,177.78,video
583,hero,177.78,178.11,video
584,it's,178.11,178.49,video
585,not,178.5,178.62,video
586,that,178.62,178.83,video
587,hard,178.83,179.01,video
588,just,179.01,179.1,video
589,just,179.1,179.55,video
590,block,179.55,183.82,video
591,so,183.83,184.55,video
592,instead,184.55,184.85,video
593,of,184.85,184.91,video
594,throwing,184.91,185.21,video
595,around,185.21,185.45,video
596,words,185.45,185.69,video
597,like,185.69,186.25,video
598,souls,186.26,186.8,video
599,like,186.8,187.28,video
600,souls,187.28,187.94,video
601,born,187.94,188.48,video
602,or,188.48,188.87,video
603,I,188.87,189.05,video
604,don't,189.05,189.38,video
605,know,189.38,189.58,video
606,soul,189.59,190.1,video
607,Kiro,190.1,190.7,video
608,born,190.7,191.12,video
609,let's,191.12,191.69,video
610,take,191.69,191.87,video
611,a,191.87,191.9,video
612,second,191.9,192.38,video
613,to,192.38,192.4,video
614,talk,192.41,192.65,video
615,about,192.65,192.71,video
616,some,192.71,193.25,video
617,actual,193.25,193.97,video
618,Dark,193.97,194.3,video
619,Souls,194.3,194.63,video
620,clones,194.63,195.04,video
621,no,195.05,195.59,video
622,more,195.59,195.77,video
623,of,195.77,195.86,video
624,this,195.86,196.01,video
625,frickin,196.01,196.55,video
626,fortune,196.55,196.91,video
627,Street,196.91,197.47,video
628,is,197.48,197.69,video
629,the,197.69,197.93,video
630,psyche,197.93,198.44,video
631,row,198.44,198.62,video
632,of,198.62,198.8,video
633,Mario,198.8,199.13,video
634,Party,199.13,199.43,video
635,of,199.43,199.78,video
636,blood-borne,199.79,200.48,video
637,nonsense,200.48,201.2,video
638,I'm,201.2,201.47,video
639,talking,201.47,202.01,video
640,about,202.01,202.09,video
641,games,202.1,202.58,video
642,that,202.58,202.82,video
643,were,202.82,203.09,video
644,like,203.09,203.3,video
645,hmm,203.3,204.23,video
646,let's,204.23,204.92,video
647,try,204.92,205.04,video
648,the,205.04,205.36,video
649,thing,205.37,206.06,video
650,what,206.06,206.84,video
651,is,206.84,207.05,video
652,the,207.05,207.41,video
653,thing,207.41,207.74,video
654,it's,207.74,208.64,video
655,obvious,208.64,209.08,video
656,just,209.09,209.36,video
657,watch,209.36,209.81,video
658,the,209.81,209.99,video
659,video,209.99,210.23,video
660,you,210.23,210.47,video
661,understand,210.47,212.74,video
662,so,212.74,213.73,video
663,I'm,213.74,213.92,video
664,back,213.92,214.1,video
665,from,214.1,214.4,video
666,the,214.4,214.52,video
667,shame,214.52,214.73,video
668,attic,214.73,215.06,video
669,to,215.06,215.23,video
670,announce,215.24,215.48,video
671,that,215.48,215.75,video
672,yes,215.75,216.14,video
673,this,216.14,216.74,video
674,is,216.74,216.92,video
675,indeed,216.92,217.28,video
676,not,217.28,217.9,video
677,clickbait,217.91,219.01,video
678,we,219.01,220.01,video
679,about,220.01,220.22,video
680,to,220.22,220.34,video
681,talk,220.34,220.52,video
682,about,220.52,220.67,video
683,some,220.67,220.96,video
684,Dark,220.97,221.18,video
685,Souls,221.18,221.48,video
686,clones,221.48,221.84,video
687,and,221.84,222.08,video
688,to,222.08,222.32,video
689,get,222.32,222.47,video
690,started,222.47,222.58,video
691,let's,222.59,223.1,video
692,talk,223.1,223.34,video
693,about,223.34,223.49,video
694,the,223.49,223.79,video
695,most,223.79,224.15,video
696,obvious,224.15,224.72,video
697,one,224.72,224.89,video
698,that,224.9,224.93,video
699,I,224.93,225.11,video
700,can,225.11,225.29,video
701,think,225.29,225.44,video
702,of,225.44,225.68,video
703,nowadays,225.68,226.58,video
704,there's,226.58,227.0,video
705,a,227.0,227.05,video
706,lot,227.06,227.27,video
707,of,227.27,227.42,video
708,souls,227.42,227.66,video
709,likes,227.66,227.96,video
710,but,227.96,228.23,video
711,once,228.23,228.44,video
712,upon,228.44,228.71,video
713,a,228.71,228.74,video
714,time,228.74,229.06,video
715,if,229.07,229.34,video
716,you,229.34,229.43,video
717,wanted,229.43,229.64,video
718,to,229.64,229.76,video
719,try,229.76,230.0,video
720,something,230.0,230.48,video
721,really,230.48,230.77,video
722,similar,230.78,231.2,video
723,to,231.2,231.53,video
724,Dark,231.53,231.74,video
725,Souls,231.74,232.1,video
726,you,232.1,232.52,video
727,had,232.52,232.76,video
728,nothing,232.76,233.59,video
729,for,233.6,234.08,video
730,like,234.08,234.26,video
731,a,234.26,234.47,video
732,really,234.47,234.83,video
733,long,234.83,234.95,video
734,time,234.95,235.6,video
735,then,235.61,236.09,video
736,Lords,236.09,236.51,video
737,of,236.51,236.6,video
738,the,236.6,236.63,video
739,Fallen,236.63,236.84,video
740,was,236.84,237.23,video
741,like,237.23,237.41,video
742,a,237.41,237.55,video
743,wassup,237.56,237.98,video
744,baby,237.98,241.08,video
745,German,243.35,244.35,video
746,developer,244.35,244.8,video
747,Dec,244.8,245.07,video
748,13,245.07,245.61,video
749,wasn't,245.61,246.06,video
750,really,246.06,246.29,video
751,known,246.3,246.51,video
752,for,246.51,246.54,video
753,too,246.54,247.14,video
754,much,247.14,247.35,video
755,at,247.35,247.53,video
756,the,247.53,247.65,video
757,time,247.65,247.86,video
758,but,247.86,248.25,video
759,I,248.25,248.27,video
760,remember,248.28,248.43,video
761,early,248.43,249.03,video
762,previews,249.03,249.54,video
763,of,249.54,249.57,video
764,this,249.57,249.78,video
765,game,249.78,249.98,video
766,looking,249.99,250.29,video
767,pretty,250.29,250.56,video
768,slick,250.56,250.95,video
769,especially,250.95,251.82,video
770,in,251.82,252.0,video
771,the,252.0,252.2,video
772,visual,252.21,252.6,video
773,Department,252.6,253.11,video
774,which,253.11,253.29,video
775,was,253.29,253.53,video
776,never,253.53,254.07,video
777,from,254.07,254.63,video
778,strongest,255.27,255.63,video
779,suit,255.63,255.93,video
780,Lorde's,255.93,256.44,video
781,is,256.44,256.59,video
782,like,256.59,256.799,video
783,fine,256.799,257.76,video
784,and,257.76,257.87,video
785,I,257.88,258.03,video
786,always,258.03,258.209,video
787,felt,258.209,258.42,video
788,like,258.42,258.51,video
789,it,258.51,258.69,video
790,played,258.69,258.93,video
791,OK,258.93,259.35,video
792,and,259.35,259.65,video
793,had,259.65,259.82,video
794,some,259.83,260.1,video
795,decent,260.1,260.31,video
796,moments,260.31,261.0,video
797,but,261.0,261.18,video
798,it,261.18,261.269,video
799,tried,261.269,261.51,video
800,too,261.51,261.77,video
801,hard,261.78,261.81,video
802,to,261.81,262.53,video
803,do,262.53,262.65,video
804,the,262.65,262.8,video
805,souls,262.8,263.07,video
806,thing,263.07,263.46,video
807,but,263.46,263.88,video
808,with,263.88,264.03,video
809,like,264.03,264.26,video
810,15%,264.27,265.05,video
811,more,265.05,265.77,video
812,jank,265.77,266.25,video
813,I,266.25,266.52,video
814,did,266.52,266.97,video
815,really,266.97,267.42,video
816,like,267.42,267.6,video
817,the,267.6,267.8,video
818,experience,267.81,268.26,video
819,point,268.26,268.71,video
820,multiplier,268.71,269.19,video
821,system,269.19,269.64,video
822,and,269.64,269.96,video
823,playing,269.97,270.36,video
824,as,270.36,270.48,video
825,an,270.48,270.6,video
826,actual,270.6,270.96,video
827,character,270.96,271.59,video
828,but,271.59,271.91,video
829,that's,271.92,272.46,video
830,it,272.46,272.76,video
831,Lords,272.76,273.18,video
832,of,273.18,273.33,video
833,the,273.33,273.36,video
834,Fallen,273.36,273.66,video
835,is,273.66,274.05,video
836,kind,274.05,274.44,video
837,of,274.44,274.64,video
838,uninteresting,274.65,275.52,video
839,to,275.52,275.64,video
840,talk,275.64,275.85,video
841,about,275.85,276.06,video
842,but,276.06,276.6,video
843,I,276.6,277.02,video
844,do,277.02,277.16,video
845,think,277.17,277.65,video
846,that,277.65,277.77,video
847,deck,277.77,278.13,video
848,13,278.13,278.66,video
849,surge,278.66,279.66,video
850,is,279.66,280.08,video
