,word,start,end,category
0,let's,0.24,0.48,video
1,get,0.48,0.64,video
2,this,0.64,0.88,video
3,out,0.88,0.96,video
4,of,0.96,1.04,video
5,the,1.04,1.12,video
6,way,1.12,1.68,video
7,even,1.68,1.92,video
8,the,1.92,1.99,video
9,most,2.0,2.32,video
10,ardent,2.32,2.8,video
11,a,2.8,3.03,video
12,d,3.04,3.36,video
13,fan,3.36,3.679,video
14,knows,3.679,4.16,video
15,that,4.16,4.4,video
16,intel,4.4,4.88,video
17,is,4.88,5.04,video
18,king,5.04,5.44,video
19,when,5.44,5.68,video
20,it,5.68,5.749,video
21,comes,5.759,6.0,video
22,to,6.0,6.16,video
23,gaming,6.16,6.71,video
24,and,6.72,6.879,video
25,amd,6.879,7.44,video
26,always,7.44,7.759,video
27,has,7.759,8.0,video
28,been,8.0,8.4,video
29,and,8.4,8.639,video
30,always,8.639,8.96,video
31,will,8.96,9.19,video
32,be,9.2,9.679,video
33,nothing,9.679,10.0,video
34,but,10.0,10.24,video
35,a,10.24,10.4,video
36,second,10.4,10.8,video
37,choice,10.8,11.27,video
38,for,11.28,11.519,video
39,poor,11.519,11.759,video
40,people,11.759,12.799,video
41,and,12.799,13.28,video
42,everyone,13.28,14.24,video
43,including,14.24,14.789,video
44,has,15.599,16.0,video
45,only,16.0,16.32,video
46,themself,16.32,16.96,video
47,to,16.96,17.199,video
48,blame,17.199,17.68,video
49,for,17.68,17.84,video
50,getting,17.84,18.87,video
51,wrapped,18.88,19.279,video
52,up,19.279,19.439,video
53,in,19.439,19.6,video
54,the,19.6,19.84,video
55,hype,19.84,20.16,video
56,around,20.16,20.48,video
57,the,20.48,20.64,video
58,3rd,20.64,20.87,video
59,gen,20.88,21.199,video
60,rise,21.199,21.52,video
61,and,21.52,21.68,video
62,launch,21.68,22.15,video
63,and,22.16,22.48,video
64,jumping,22.48,22.88,video
65,on,22.88,23.039,video
66,the,23.039,23.119,video
67,bandwagon,23.119,24.08,video
68,too,24.08,24.4,video
69,early,24.4,25.269,video
70,let's,25.279,25.439,video
71,throw,25.439,25.68,video
72,up,25.68,25.76,video
73,some,25.76,25.92,video
74,numbers,25.92,26.32,video
75,here,26.32,26.56,video
76,shall,26.56,26.71,video
77,we,26.72,27.76,video
78,so,27.76,28.0,video
79,as,28.0,28.16,video
80,you,28.16,28.24,video
81,guys,28.24,28.48,video
82,can,28.48,28.72,video
83,see,28.72,28.96,video
84,here,28.96,29.589,video
85,a,29.599,29.92,video
86,simple,29.92,30.4,video
87,die,30.4,30.72,video
88,shrink,30.72,31.279,video
89,was,31.279,31.599,video
90,never,31.599,31.92,video
91,going,31.92,32.239,video
92,to,32.239,32.549,video
93,a,35.6,35.76,video
94,simple,35.76,36.079,video
95,die,36.079,36.32,video
96,shrink,36.32,36.719,video
97,was,36.719,38.16,video
98,hey,38.16,39.67,video
99,um,39.68,40.239,video
100,amd,40.239,40.719,video
101,is,40.719,40.879,video
102,tied,40.879,41.12,video
103,with,41.12,41.36,video
104,intel,41.36,42.399,video
105,yeah,42.399,43.19,video
106,yeah,43.2,43.36,video
107,that's,43.36,43.52,video
108,csgo,43.52,44.8,video
109,that,44.8,45.2,video
110,that,45.2,45.36,video
111,that's,45.36,45.76,video
112,known,45.76,45.99,video
113,to,46.0,46.16,video
114,favor,46.16,46.63,video
